, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""No Income""",249,12,87
"""$1 -  $150""",2,0,1
"""$151 - $250""",4,0,0
"""$251 - $500""",26,1,5
"""$501 - $1000""",121,19,38
"""$1001 - $1500""",80,17,15
"""$1501 - $2000""",74,8,24
"""$2001+""",57,4,21
"""Client Doesn't Know/Client Refused""",0,0,0
"""Data Not Collected""",183,3,126
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,341,0
"""Number of Adult Stayers without Required Annual Assessment""",0,74,0
"""Total Adults""",796,479,317
