"""Total Number of Persons Served""",1089
"""Number of Adults (age 18 or over)""",796
"""Number of Children (under age 18)""",288
"""Number of Persons with Unknown Age""",5
"""Number of Leavers""",409
"""Number of Adult Leavers""",317
"""Number of Adult and Head of Household Leavers""",323
"""Number of Stayers""",680
"""Number of Adult Stayers""",479
"""Number of Veterans""",42
"""Number of Chronically Homeless Persons""",115
"""Number of Youth Under Age 25""",72
"""Number of Parenting Youth Under Age 25 with Children""",15
"""Number of Adult Heads of Household""",657
"""Number of Child and Unknown-Age Heads of Household""",6
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",138
