ethnicity,total,population,start_date,end_date,question,household_type,count
Non-Hispanic/Non-Latin(a)(o)(x),991,all_persons,2020-09-01,2020-09-30,Q12b,without_children,636
Non-Hispanic/Non-Latin(a)(o)(x),991,all_persons,2020-09-01,2020-09-30,Q12b,with_children_and_adults,333
Non-Hispanic/Non-Latin(a)(o)(x),991,all_persons,2020-09-01,2020-09-30,Q12b,with_only_children,13
Non-Hispanic/Non-Latin(a)(o)(x),991,all_persons,2020-09-01,2020-09-30,Q12b,unknown_household_type,9
Hispanic/Latin(a)(o)(x),91,all_persons,2020-09-01,2020-09-30,Q12b,without_children,37
Hispanic/Latin(a)(o)(x),91,all_persons,2020-09-01,2020-09-30,Q12b,with_children_and_adults,52
Hispanic/Latin(a)(o)(x),91,all_persons,2020-09-01,2020-09-30,Q12b,with_only_children,2
Hispanic/Latin(a)(o)(x),91,all_persons,2020-09-01,2020-09-30,Q12b,unknown_household_type,0
Client Doesn't Know/Client Refused,2,all_persons,2020-09-01,2020-09-30,Q12b,without_children,1
Client Doesn't Know/Client Refused,2,all_persons,2020-09-01,2020-09-30,Q12b,with_children_and_adults,1
Client Doesn't Know/Client Refused,2,all_persons,2020-09-01,2020-09-30,Q12b,with_only_children,0
Client Doesn't Know/Client Refused,2,all_persons,2020-09-01,2020-09-30,Q12b,unknown_household_type,0
Data Not Collected,7,all_persons,2020-09-01,2020-09-30,Q12b,without_children,2
Data Not Collected,7,all_persons,2020-09-01,2020-09-30,Q12b,with_children_and_adults,2
Data Not Collected,7,all_persons,2020-09-01,2020-09-30,Q12b,with_only_children,0
Data Not Collected,7,all_persons,2020-09-01,2020-09-30,Q12b,unknown_household_type,3
