conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
Mental Health Disorder,38,6,0,exit,2020-09-01,2020-09-30,Q13b1,without_children,32
Mental Health Disorder,38,6,0,exit,2020-09-01,2020-09-30,Q13b1,with_only_children,0
Mental Health Disorder,38,6,0,exit,2020-09-01,2020-09-30,Q13b1,unknown_household_type,0
Alcohol Use Disorder,6,1,0,exit,2020-09-01,2020-09-30,Q13b1,without_children,5
Alcohol Use Disorder,6,1,0,exit,2020-09-01,2020-09-30,Q13b1,with_only_children,0
Alcohol Use Disorder,6,1,0,exit,2020-09-01,2020-09-30,Q13b1,unknown_household_type,0
Drug Use Disorder,10,1,0,exit,2020-09-01,2020-09-30,Q13b1,without_children,9
Drug Use Disorder,10,1,0,exit,2020-09-01,2020-09-30,Q13b1,with_only_children,0
Drug Use Disorder,10,1,0,exit,2020-09-01,2020-09-30,Q13b1,unknown_household_type,0
Both Alcohol and Drug Use Disorders,7,0,0,exit,2020-09-01,2020-09-30,Q13b1,without_children,7
Both Alcohol and Drug Use Disorders,7,0,0,exit,2020-09-01,2020-09-30,Q13b1,with_only_children,0
Both Alcohol and Drug Use Disorders,7,0,0,exit,2020-09-01,2020-09-30,Q13b1,unknown_household_type,0
Chronic Health Condition,18,3,0,exit,2020-09-01,2020-09-30,Q13b1,without_children,15
Chronic Health Condition,18,3,0,exit,2020-09-01,2020-09-30,Q13b1,with_only_children,0
Chronic Health Condition,18,3,0,exit,2020-09-01,2020-09-30,Q13b1,unknown_household_type,0
HIV/AIDS,3,0,0,exit,2020-09-01,2020-09-30,Q13b1,without_children,3
HIV/AIDS,3,0,0,exit,2020-09-01,2020-09-30,Q13b1,with_only_children,0
HIV/AIDS,3,0,0,exit,2020-09-01,2020-09-30,Q13b1,unknown_household_type,0
Development Disability,6,2,1,exit,2020-09-01,2020-09-30,Q13b1,without_children,3
Development Disability,6,2,1,exit,2020-09-01,2020-09-30,Q13b1,with_only_children,0
Development Disability,6,2,1,exit,2020-09-01,2020-09-30,Q13b1,unknown_household_type,0
Physical Disability,25,1,1,exit,2020-09-01,2020-09-30,Q13b1,without_children,23
Physical Disability,25,1,1,exit,2020-09-01,2020-09-30,Q13b1,with_only_children,0
Physical Disability,25,1,1,exit,2020-09-01,2020-09-30,Q13b1,unknown_household_type,0
