length,total,population,start_date,end_date,question,status,count
30 days or less,292,all_persons,2020-09-01,2020-09-30,Q22a1,leavers,181
30 days or less,292,all_persons,2020-09-01,2020-09-30,Q22a1,stayers,111
31 to 60 days,93,all_persons,2020-09-01,2020-09-30,Q22a1,leavers,18
31 to 60 days,93,all_persons,2020-09-01,2020-09-30,Q22a1,stayers,75
61 to 90 days,48,all_persons,2020-09-01,2020-09-30,Q22a1,leavers,8
61 to 90 days,48,all_persons,2020-09-01,2020-09-30,Q22a1,stayers,40
91 to 180 days,93,all_persons,2020-09-01,2020-09-30,Q22a1,leavers,7
91 to 180 days,93,all_persons,2020-09-01,2020-09-30,Q22a1,stayers,86
181 to 365 days,151,all_persons,2020-09-01,2020-09-30,Q22a1,leavers,9
181 to 365 days,151,all_persons,2020-09-01,2020-09-30,Q22a1,stayers,142
366 to 730 Days (1-2 Yrs),239,all_persons,2020-09-01,2020-09-30,Q22a1,leavers,6
366 to 730 Days (1-2 Yrs),239,all_persons,2020-09-01,2020-09-30,Q22a1,stayers,233
"731 to 1,095 Days (2-3 Yrs)",83,all_persons,2020-09-01,2020-09-30,Q22a1,leavers,0
"731 to 1,095 Days (2-3 Yrs)",83,all_persons,2020-09-01,2020-09-30,Q22a1,stayers,83
"1,096 to 1,460 Days (3-4 Yrs)",29,all_persons,2020-09-01,2020-09-30,Q22a1,leavers,0
"1,096 to 1,460 Days (3-4 Yrs)",29,all_persons,2020-09-01,2020-09-30,Q22a1,stayers,29
"1,461 to 1,825 Days (5-5 Yrs)",27,all_persons,2020-09-01,2020-09-30,Q22a1,leavers,0
"1,461 to 1,825 Days (5-5 Yrs)",27,all_persons,2020-09-01,2020-09-30,Q22a1,stayers,27
"More than 1,825 Days (>5 Yrs)",36,all_persons,2020-09-01,2020-09-30,Q22a1,leavers,0
"More than 1,825 Days (>5 Yrs)",36,all_persons,2020-09-01,2020-09-30,Q22a1,stayers,36
Data Not Collected,0,all_persons,2020-09-01,2020-09-30,Q22a1,leavers,0
Data Not Collected,0,all_persons,2020-09-01,2020-09-30,Q22a1,stayers,0
