income_sources_exit,ao_adult_with_disabling_condition,ao_adult_without_disabling_condition,ao_total_adults,ao_percent_with_disabling_condition_by_source,ac_adult_with_disabling_condition,ac_adult_without_disabling_condition,ac_total_adults,ac_percent_with_disabling_condition_by_source,uk_adult_with_disabling_condition,uk_adult_without_disabling_condition,uk_total_adults,uk_percent_with_disabling_condition_by_source,population,start_date,end_date,question
Earned Income,12,15,27,0.44,3,7,10,0.3,0,0,0,0.0,adults,2020-09-01,2020-09-30,Q19b
Supplemental Security Income (SSI),6,1,7,0.86,2,0,2,1.0,0,0,0,0.0,adults,2020-09-01,2020-09-30,Q19b
Social Security Disability Insurance (SSDI),11,2,13,0.85,2,0,2,1.0,0,0,0,0.0,adults,2020-09-01,2020-09-30,Q19b
VA Service-Connected Disability Compensation,0,1,1,0.0,0,0,0,0.0,0,0,0,0.0,adults,2020-09-01,2020-09-30,Q19b
Private Disability Insurance,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2020-09-01,2020-09-30,Q19b
Worker's Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2020-09-01,2020-09-30,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2020-09-01,2020-09-30,Q19b
Retirement Income from Social Security,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2020-09-01,2020-09-30,Q19b
Pension or retirement income from a former job,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2020-09-01,2020-09-30,Q19b
Child Support,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2020-09-01,2020-09-30,Q19b
Other source,1,1,2,0.5,0,0,0,0.0,0,0,0,0.0,adults,2020-09-01,2020-09-30,Q19b
No Sources,21,25,46,0.46,3,4,7,0.43,0,0,0,0.0,adults,2020-09-01,2020-09-30,Q19b
Unduplicated Total Adults,46,43,89,NA,8,11,19,NA,0,0,0,NA,adults,2020-09-01,2020-09-30,Q19b
