count_non_cash_benefits,population,start_date,end_date,question,status,count
No Sources,all_persons,2020-09-01,2020-09-30,Q20b,benefit_at_entry,493
No Sources,all_persons,2020-09-01,2020-09-30,Q20b,benefit_at_latest_annual_assessment_for_stayers,23
No Sources,all_persons,2020-09-01,2020-09-30,Q20b,benefit_at_exit_for_leavers,108
1 + Source(s),all_persons,2020-09-01,2020-09-30,Q20b,benefit_at_entry,245
1 + Source(s),all_persons,2020-09-01,2020-09-30,Q20b,benefit_at_latest_annual_assessment_for_stayers,34
1 + Source(s),all_persons,2020-09-01,2020-09-30,Q20b,benefit_at_exit_for_leavers,40
Client Doesn't Know/Client Refused,all_persons,2020-09-01,2020-09-30,Q20b,benefit_at_entry,1
Client Doesn't Know/Client Refused,all_persons,2020-09-01,2020-09-30,Q20b,benefit_at_latest_annual_assessment_for_stayers,0
Client Doesn't Know/Client Refused,all_persons,2020-09-01,2020-09-30,Q20b,benefit_at_exit_for_leavers,0
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2020-09-01,2020-09-30,Q20b,benefit_at_entry,98
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2020-09-01,2020-09-30,Q20b,benefit_at_latest_annual_assessment_for_stayers,581
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2020-09-01,2020-09-30,Q20b,benefit_at_exit_for_leavers,51
