, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",151,4,36
"""Unemployment Insurance""",4,1,1
"""Supplemental Security Income (SSI)""",56,16,15
"""Social Security Disability Insurance (SSDI)""",51,9,14
"""VA Service - Connected Disability Compensation""",1,0,0
"""VA Non-Service Connected Disability Pension""",1,0,1
"""Private Disability Insurance""",1,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",8,0,2
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",8,0,2
"""Pension or retirement income from a former job""",2,0,1
"""Child Support""",17,0,4
"""Alimony and other spousal support""",0,0,0
"""Other Source""",5,0,3
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,32,0
