"""Number of Adults by Income Category""", "Number of Adults at Start" , "Number of Adults at Annual Assessment (Stayers)" , "Number of Adults at Exit (Leavers)"
"""Adults with Only Earned Income (ie.e, Employment Income)""",131,3,31
"""Adults with Only Other Income""",105,21,24
"""Adults with Both Earned and Other Income""",20,1,5
"""Adults with No Income""",190,7,32
"""Adults with Client Doesn't Know/Client Refused Income Information""",0,0,0
"""Adults with Missing Income Information""",7,0,0
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,262,0
"""Number of Adult Stayers without Required Annual Assessment""",0,67,0
"""Total Adults""",453,361,92
"""1 or More Source of Income""",281,26,63
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,32,0
