, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",17,12,5,0,0
"""8 to 14 days""",6,1,5,0,0
"""15 to 21 days""",3,3,0,0,0
"""22 to 30 days""",9,3,6,0,0
"""31 to 60 days""",36,7,29,0,0
"""61 to 180 days""",39,25,14,0,0
"""181 to 365 days""",22,13,9,0,0
"""366-730 days (1-2 years)""",24,21,3,0,0
"""731 days or more""",13,13,0,0,0
"""Total (persons moved into housing)""",169,98,71,0,0
"""Not yet moved into housing""",53,28,24,1,0
"""Data not collected""",133,80,53,0,0
"""Total persons""",355,206,148,1,0
