"""Total Number of Persons Served""",629
"""Number of Adults (age 18 or over)""",453
"""Number of Children (under age 18)""",175
"""Number of Persons with Unknown Age""",1
"""Number of Leavers""",137
"""Number of Adult Leavers""",92
"""Number of Adult and Head of Household Leavers""",92
"""Number of Stayers""",492
"""Number of Adult Stayers""",361
"""Number of Veterans""",16
"""Number of Chronically Homeless Persons""",39
"""Number of Youth Under Age 25""",28
"""Number of Parenting Youth Under Age 25 with Children""",14
"""Number of Adult Heads of Household""",368
"""Number of Child and Unknown-Age Heads of Household""",2
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",99
