, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""No Income""",153,6,25
"""$1 -  $150""",4,0,1
"""$151 - $250""",6,0,2
"""$251 - $500""",18,2,3
"""$501 - $1000""",83,13,16
"""$1001 - $1500""",74,6,18
"""$1501 - $2000""",28,1,7
"""$2001+""",43,3,13
"""Client Doesn't Know/Client Refused""",0,0,0
"""Data Not Collected""",44,1,7
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,262,0
"""Number of Adult Stayers without Required Annual Assessment""",0,67,0
"""Total Adults""",453,361,92
