, "At Start" , "At Annual Assessment for Stayers" , "At Exit for Leavers"
"""MEDICAID""",255,24,64
"""MEDICARE""",55,10,13
"""State Children's Health Insurance Program""",7,0,0
"""Veteran's Administration (VA) Medical Services""",5,0,3
"""Employer - Provided Health Insurance""",23,0,4
"""Health Insurance obtained through COBRA""",0,0,0
"""Private Pay Health Insurance""",30,4,0
"""State Health Insurance for Adults""",7,1,0
"""Indian Health Services Program""",0,0,0
"""Other""",0,0,0
"""No Health Insurance""",275,5,60
"""Client Doesn't Know/Client Refused""",0,0,0
"""Data Not Collected""",12,72,0
"""Number of Stayers not yet Required To Have an Annual Assessment""",0,384,0
"""1 Source of Health Insurance""",305,23,70
"""More than 1 Source of Health Insurance""",38,8,7
