number_of_adults_by_income_category,population,start_date,end_date,question,status,count
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2018-10-01,2018-10-31,Q18,number_of_adults_at_start,94
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2018-10-01,2018-10-31,Q18,number_of_adults_at_annual_assessment_stayers,5
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2018-10-01,2018-10-31,Q18,number_of_adults_at_exit_leavers,24
Adults with Only Other Income,all_persons,2018-10-01,2018-10-31,Q18,number_of_adults_at_start,111
Adults with Only Other Income,all_persons,2018-10-01,2018-10-31,Q18,number_of_adults_at_annual_assessment_stayers,34
Adults with Only Other Income,all_persons,2018-10-01,2018-10-31,Q18,number_of_adults_at_exit_leavers,16
Adults with Both Earned and Other Income,all_persons,2018-10-01,2018-10-31,Q18,number_of_adults_at_start,15
Adults with Both Earned and Other Income,all_persons,2018-10-01,2018-10-31,Q18,number_of_adults_at_annual_assessment_stayers,2
Adults with Both Earned and Other Income,all_persons,2018-10-01,2018-10-31,Q18,number_of_adults_at_exit_leavers,2
Adults with No Income,all_persons,2018-10-01,2018-10-31,Q18,number_of_adults_at_start,165
Adults with No Income,all_persons,2018-10-01,2018-10-31,Q18,number_of_adults_at_annual_assessment_stayers,12
Adults with No Income,all_persons,2018-10-01,2018-10-31,Q18,number_of_adults_at_exit_leavers,25
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2018-10-01,2018-10-31,Q18,number_of_adults_at_start,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2018-10-01,2018-10-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2018-10-01,2018-10-31,Q18,number_of_adults_at_exit_leavers,0
Adults with Missing Income Information,all_persons,2018-10-01,2018-10-31,Q18,number_of_adults_at_start,10
Adults with Missing Income Information,all_persons,2018-10-01,2018-10-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Missing Income Information,all_persons,2018-10-01,2018-10-31,Q18,number_of_adults_at_exit_leavers,3
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2018-10-01,2018-10-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2018-10-01,2018-10-31,Q18,number_of_adults_at_annual_assessment_stayers,221
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2018-10-01,2018-10-31,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2018-10-01,2018-10-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2018-10-01,2018-10-31,Q18,number_of_adults_at_annual_assessment_stayers,51
Number of Adult Stayers without Required Annual Assessment,all_persons,2018-10-01,2018-10-31,Q18,number_of_adults_at_exit_leavers,0
Total Adults,all_persons,2018-10-01,2018-10-31,Q18,number_of_adults_at_start,395
Total Adults,all_persons,2018-10-01,2018-10-31,Q18,number_of_adults_at_annual_assessment_stayers,325
Total Adults,all_persons,2018-10-01,2018-10-31,Q18,number_of_adults_at_exit_leavers,70
1 or More Source of Income,all_persons,2018-10-01,2018-10-31,Q18,number_of_adults_at_start,235
1 or More Source of Income,all_persons,2018-10-01,2018-10-31,Q18,number_of_adults_at_annual_assessment_stayers,45
1 or More Source of Income,all_persons,2018-10-01,2018-10-31,Q18,number_of_adults_at_exit_leavers,43
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2018-10-01,2018-10-31,Q18,number_of_adults_at_start,0
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2018-10-01,2018-10-31,Q18,number_of_adults_at_annual_assessment_stayers,53
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2018-10-01,2018-10-31,Q18,number_of_adults_at_exit_leavers,0
