veteran_status_households,total,population,start_date,end_date,question,household_type,count
Chronically Homeless Veteran,15,all_households,2018-10-01,2018-10-31,Q25b,without_children,15
Chronically Homeless Veteran,15,all_households,2018-10-01,2018-10-31,Q25b,with_children_and_adults,0
Chronically Homeless Veteran,15,all_households,2018-10-01,2018-10-31,Q25b,unknown_household_type,0
Non-Chronically Homeless Veteran,10,all_households,2018-10-01,2018-10-31,Q25b,without_children,8
Non-Chronically Homeless Veteran,10,all_households,2018-10-01,2018-10-31,Q25b,with_children_and_adults,2
Non-Chronically Homeless Veteran,10,all_households,2018-10-01,2018-10-31,Q25b,unknown_household_type,0
Not a Veteran,285,all_households,2018-10-01,2018-10-31,Q25b,without_children,200
Not a Veteran,285,all_households,2018-10-01,2018-10-31,Q25b,with_children_and_adults,85
Not a Veteran,285,all_households,2018-10-01,2018-10-31,Q25b,unknown_household_type,0
Client Doesn't Know/Client Refused,0,all_households,2018-10-01,2018-10-31,Q25b,without_children,0
Client Doesn't Know/Client Refused,0,all_households,2018-10-01,2018-10-31,Q25b,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,all_households,2018-10-01,2018-10-31,Q25b,unknown_household_type,0
Data Not Collected,2,all_households,2018-10-01,2018-10-31,Q25b,without_children,2
Data Not Collected,2,all_households,2018-10-01,2018-10-31,Q25b,with_children_and_adults,0
Data Not Collected,2,all_households,2018-10-01,2018-10-31,Q25b,unknown_household_type,0
