dv_fleeing,total,population,start_date,end_date,question,household_type,count
Yes,19,all_persons,2018-10-01,2018-10-31,Q14b,without_children,5
Yes,19,all_persons,2018-10-01,2018-10-31,Q14b,with_children_and_adults,14
Yes,19,all_persons,2018-10-01,2018-10-31,Q14b,with_only_children,0
Yes,19,all_persons,2018-10-01,2018-10-31,Q14b,unknown_household_type,0
No,42,all_persons,2018-10-01,2018-10-31,Q14b,without_children,23
No,42,all_persons,2018-10-01,2018-10-31,Q14b,with_children_and_adults,19
No,42,all_persons,2018-10-01,2018-10-31,Q14b,with_only_children,0
No,42,all_persons,2018-10-01,2018-10-31,Q14b,unknown_household_type,0
Client Doesn't Know/Client Refused,0,all_persons,2018-10-01,2018-10-31,Q14b,without_children,0
Client Doesn't Know/Client Refused,0,all_persons,2018-10-01,2018-10-31,Q14b,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,all_persons,2018-10-01,2018-10-31,Q14b,with_only_children,0
Client Doesn't Know/Client Refused,0,all_persons,2018-10-01,2018-10-31,Q14b,unknown_household_type,0
Data Not Collected,1,all_persons,2018-10-01,2018-10-31,Q14b,without_children,0
Data Not Collected,1,all_persons,2018-10-01,2018-10-31,Q14b,with_children_and_adults,1
Data Not Collected,1,all_persons,2018-10-01,2018-10-31,Q14b,with_only_children,0
Data Not Collected,1,all_persons,2018-10-01,2018-10-31,Q14b,unknown_household_type,0
