report_validations,count,population,start_date,end_date,question
Total Number of Persons Served,618,all_persons,2018-10-01,2018-10-31,Q5a
Number of Adults (age 18 or over),395,all_persons,2018-10-01,2018-10-31,Q5a
Number of Children (under age 18),222,all_persons,2018-10-01,2018-10-31,Q5a
Number of Persons with Unknown Age,1,all_persons,2018-10-01,2018-10-31,Q5a
Number of Leavers,121,all_persons,2018-10-01,2018-10-31,Q5a
Number of Adult Leavers,70,all_persons,2018-10-01,2018-10-31,Q5a
Number of Adult and Head of Household Leavers,70,all_persons,2018-10-01,2018-10-31,Q5a
Number of Stayers,497,all_persons,2018-10-01,2018-10-31,Q5a
Number of Adult Stayers,325,all_persons,2018-10-01,2018-10-31,Q5a
Number of Veterans,27,all_persons,2018-10-01,2018-10-31,Q5a
Number of Chronically Homeless Persons,79,all_persons,2018-10-01,2018-10-31,Q5a
Number of Youth Under Age 25,24,all_persons,2018-10-01,2018-10-31,Q5a
Number of Parenting Youth Under Age 25 with Children,8,all_persons,2018-10-01,2018-10-31,Q5a
Number of Adult Heads of Household,312,all_persons,2018-10-01,2018-10-31,Q5a
Number of Child and Unknown-Age Heads of Household,1,all_persons,2018-10-01,2018-10-31,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,104,all_persons,2018-10-01,2018-10-31,Q5a
