report_validations,count,population,start_date,end_date,question
Total Number of Persons Served,1094,all_persons,2020-06-01,2020-06-30,Q5a
Number of Adults (age 18 or over),840,all_persons,2020-06-01,2020-06-30,Q5a
Number of Children (under age 18),245,all_persons,2020-06-01,2020-06-30,Q5a
Number of Persons with Unknown Age,9,all_persons,2020-06-01,2020-06-30,Q5a
Number of Leavers,268,all_persons,2020-06-01,2020-06-30,Q5a
Number of Adult Leavers,248,all_persons,2020-06-01,2020-06-30,Q5a
Number of Adult and Head of Household Leavers,248,all_persons,2020-06-01,2020-06-30,Q5a
Number of Stayers,826,all_persons,2020-06-01,2020-06-30,Q5a
Number of Adult Stayers,592,all_persons,2020-06-01,2020-06-30,Q5a
Number of Veterans,52,all_persons,2020-06-01,2020-06-30,Q5a
Number of Chronically Homeless Persons,160,all_persons,2020-06-01,2020-06-30,Q5a
Number of Youth Under Age 25,67,all_persons,2020-06-01,2020-06-30,Q5a
Number of Parenting Youth Under Age 25 with Children,12,all_persons,2020-06-01,2020-06-30,Q5a
Number of Adult Heads of Household,693,all_persons,2020-06-01,2020-06-30,Q5a
Number of Child and Unknown-Age Heads of Household,0,all_persons,2020-06-01,2020-06-30,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,234,all_persons,2020-06-01,2020-06-30,Q5a
