conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
Mental Health Disorder,62,3,2,exit,2020-06-01,2020-06-30,Q13b1,without_children,57
Mental Health Disorder,62,3,2,exit,2020-06-01,2020-06-30,Q13b1,with_only_children,0
Mental Health Disorder,62,3,2,exit,2020-06-01,2020-06-30,Q13b1,unknown_household_type,0
Alcohol Use Disorder,11,0,0,exit,2020-06-01,2020-06-30,Q13b1,without_children,11
Alcohol Use Disorder,11,0,0,exit,2020-06-01,2020-06-30,Q13b1,with_only_children,0
Alcohol Use Disorder,11,0,0,exit,2020-06-01,2020-06-30,Q13b1,unknown_household_type,0
Drug Use Disorder,9,0,0,exit,2020-06-01,2020-06-30,Q13b1,without_children,9
Drug Use Disorder,9,0,0,exit,2020-06-01,2020-06-30,Q13b1,with_only_children,0
Drug Use Disorder,9,0,0,exit,2020-06-01,2020-06-30,Q13b1,unknown_household_type,0
Both Alcohol and Drug Use Disorders,11,0,0,exit,2020-06-01,2020-06-30,Q13b1,without_children,11
Both Alcohol and Drug Use Disorders,11,0,0,exit,2020-06-01,2020-06-30,Q13b1,with_only_children,0
Both Alcohol and Drug Use Disorders,11,0,0,exit,2020-06-01,2020-06-30,Q13b1,unknown_household_type,0
Chronic Health Condition,30,0,0,exit,2020-06-01,2020-06-30,Q13b1,without_children,30
Chronic Health Condition,30,0,0,exit,2020-06-01,2020-06-30,Q13b1,with_only_children,0
Chronic Health Condition,30,0,0,exit,2020-06-01,2020-06-30,Q13b1,unknown_household_type,0
HIV/AIDS,4,0,0,exit,2020-06-01,2020-06-30,Q13b1,without_children,4
HIV/AIDS,4,0,0,exit,2020-06-01,2020-06-30,Q13b1,with_only_children,0
HIV/AIDS,4,0,0,exit,2020-06-01,2020-06-30,Q13b1,unknown_household_type,0
Development Disability,14,1,3,exit,2020-06-01,2020-06-30,Q13b1,without_children,10
Development Disability,14,1,3,exit,2020-06-01,2020-06-30,Q13b1,with_only_children,0
Development Disability,14,1,3,exit,2020-06-01,2020-06-30,Q13b1,unknown_household_type,0
Physical Disability,60,3,0,exit,2020-06-01,2020-06-30,Q13b1,without_children,57
Physical Disability,60,3,0,exit,2020-06-01,2020-06-30,Q13b1,with_only_children,0
Physical Disability,60,3,0,exit,2020-06-01,2020-06-30,Q13b1,unknown_household_type,0
