number_of_adults_by_income_category,population,start_date,end_date,question,status,count
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2020-06-01,2020-06-30,Q18,number_of_adults_at_start,151
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2020-06-01,2020-06-30,Q18,number_of_adults_at_annual_assessment_stayers,9
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2020-06-01,2020-06-30,Q18,number_of_adults_at_exit_leavers,22
Adults with Only Other Income,all_persons,2020-06-01,2020-06-30,Q18,number_of_adults_at_start,188
Adults with Only Other Income,all_persons,2020-06-01,2020-06-30,Q18,number_of_adults_at_annual_assessment_stayers,35
Adults with Only Other Income,all_persons,2020-06-01,2020-06-30,Q18,number_of_adults_at_exit_leavers,45
Adults with Both Earned and Other Income,all_persons,2020-06-01,2020-06-30,Q18,number_of_adults_at_start,31
Adults with Both Earned and Other Income,all_persons,2020-06-01,2020-06-30,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Both Earned and Other Income,all_persons,2020-06-01,2020-06-30,Q18,number_of_adults_at_exit_leavers,4
Adults with No Income,all_persons,2020-06-01,2020-06-30,Q18,number_of_adults_at_start,447
Adults with No Income,all_persons,2020-06-01,2020-06-30,Q18,number_of_adults_at_annual_assessment_stayers,14
Adults with No Income,all_persons,2020-06-01,2020-06-30,Q18,number_of_adults_at_exit_leavers,174
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2020-06-01,2020-06-30,Q18,number_of_adults_at_start,1
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2020-06-01,2020-06-30,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2020-06-01,2020-06-30,Q18,number_of_adults_at_exit_leavers,1
Adults with Missing Income Information,all_persons,2020-06-01,2020-06-30,Q18,number_of_adults_at_start,18
Adults with Missing Income Information,all_persons,2020-06-01,2020-06-30,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Missing Income Information,all_persons,2020-06-01,2020-06-30,Q18,number_of_adults_at_exit_leavers,2
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2020-06-01,2020-06-30,Q18,number_of_adults_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2020-06-01,2020-06-30,Q18,number_of_adults_at_annual_assessment_stayers,358
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2020-06-01,2020-06-30,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2020-06-01,2020-06-30,Q18,number_of_adults_at_start,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2020-06-01,2020-06-30,Q18,number_of_adults_at_annual_assessment_stayers,176
Number of Adult Stayers without Required Annual Assessment,all_persons,2020-06-01,2020-06-30,Q18,number_of_adults_at_exit_leavers,0
Total Adults,all_persons,2020-06-01,2020-06-30,Q18,number_of_adults_at_start,840
Total Adults,all_persons,2020-06-01,2020-06-30,Q18,number_of_adults_at_annual_assessment_stayers,592
Total Adults,all_persons,2020-06-01,2020-06-30,Q18,number_of_adults_at_exit_leavers,248
1 or More Source of Income,all_persons,2020-06-01,2020-06-30,Q18,number_of_adults_at_start,408
1 or More Source of Income,all_persons,2020-06-01,2020-06-30,Q18,number_of_adults_at_annual_assessment_stayers,45
1 or More Source of Income,all_persons,2020-06-01,2020-06-30,Q18,number_of_adults_at_exit_leavers,79
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2020-06-01,2020-06-30,Q18,number_of_adults_at_start,0
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2020-06-01,2020-06-30,Q18,number_of_adults_at_annual_assessment_stayers,58
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2020-06-01,2020-06-30,Q18,number_of_adults_at_exit_leavers,1
