ch_status_households,total,population,start_date,end_date,question,household_type,count
Chronically Homeless ,137,all_households,2020-06-01,2020-06-30,Q26a,without_children,133
Chronically Homeless ,137,all_households,2020-06-01,2020-06-30,Q26a,with_children_and_adults,4
Chronically Homeless ,137,all_households,2020-06-01,2020-06-30,Q26a,with_only_children,0
Chronically Homeless ,137,all_households,2020-06-01,2020-06-30,Q26a,unknown_household_type,0
Not Chronically Homeless,534,all_households,2020-06-01,2020-06-30,Q26a,without_children,449
Not Chronically Homeless,534,all_households,2020-06-01,2020-06-30,Q26a,with_children_and_adults,84
Not Chronically Homeless,534,all_households,2020-06-01,2020-06-30,Q26a,with_only_children,0
Not Chronically Homeless,534,all_households,2020-06-01,2020-06-30,Q26a,unknown_household_type,1
Client Doesn't Know/Client Refused,6,all_households,2020-06-01,2020-06-30,Q26a,without_children,6
Client Doesn't Know/Client Refused,6,all_households,2020-06-01,2020-06-30,Q26a,with_children_and_adults,0
Client Doesn't Know/Client Refused,6,all_households,2020-06-01,2020-06-30,Q26a,with_only_children,0
Client Doesn't Know/Client Refused,6,all_households,2020-06-01,2020-06-30,Q26a,unknown_household_type,0
Data Not Collected,16,all_households,2020-06-01,2020-06-30,Q26a,without_children,14
Data Not Collected,16,all_households,2020-06-01,2020-06-30,Q26a,with_children_and_adults,1
Data Not Collected,16,all_households,2020-06-01,2020-06-30,Q26a,with_only_children,0
Data Not Collected,16,all_households,2020-06-01,2020-06-30,Q26a,unknown_household_type,1
