health_insurance,population,start_date,end_date,question,status,count
MEDICAID,all_persons,2020-06-01,2020-06-30,Q21,at_start,544
MEDICAID,all_persons,2020-06-01,2020-06-30,Q21,at_annual_assessment_for_stayers,38
MEDICAID,all_persons,2020-06-01,2020-06-30,Q21,at_exit_for_leavers,121
MEDICARE,all_persons,2020-06-01,2020-06-30,Q21,at_start,101
MEDICARE,all_persons,2020-06-01,2020-06-30,Q21,at_annual_assessment_for_stayers,18
MEDICARE,all_persons,2020-06-01,2020-06-30,Q21,at_exit_for_leavers,22
State Children's Health Insurance Program,all_persons,2020-06-01,2020-06-30,Q21,at_start,5
State Children's Health Insurance Program,all_persons,2020-06-01,2020-06-30,Q21,at_annual_assessment_for_stayers,0
State Children's Health Insurance Program,all_persons,2020-06-01,2020-06-30,Q21,at_exit_for_leavers,0
Veteran's Administration (VA) Medical Services,all_persons,2020-06-01,2020-06-30,Q21,at_start,21
Veteran's Administration (VA) Medical Services,all_persons,2020-06-01,2020-06-30,Q21,at_annual_assessment_for_stayers,12
Veteran's Administration (VA) Medical Services,all_persons,2020-06-01,2020-06-30,Q21,at_exit_for_leavers,2
Employer - Provided Health Insurance,all_persons,2020-06-01,2020-06-30,Q21,at_start,32
Employer - Provided Health Insurance,all_persons,2020-06-01,2020-06-30,Q21,at_annual_assessment_for_stayers,0
Employer - Provided Health Insurance,all_persons,2020-06-01,2020-06-30,Q21,at_exit_for_leavers,1
Health Insurance obtained through COBRA,all_persons,2020-06-01,2020-06-30,Q21,at_start,0
Health Insurance obtained through COBRA,all_persons,2020-06-01,2020-06-30,Q21,at_annual_assessment_for_stayers,0
Health Insurance obtained through COBRA,all_persons,2020-06-01,2020-06-30,Q21,at_exit_for_leavers,0
Private Pay Health Insurance,all_persons,2020-06-01,2020-06-30,Q21,at_start,38
Private Pay Health Insurance,all_persons,2020-06-01,2020-06-30,Q21,at_annual_assessment_for_stayers,2
Private Pay Health Insurance,all_persons,2020-06-01,2020-06-30,Q21,at_exit_for_leavers,2
State Health Insurance for Adults,all_persons,2020-06-01,2020-06-30,Q21,at_start,6
State Health Insurance for Adults,all_persons,2020-06-01,2020-06-30,Q21,at_annual_assessment_for_stayers,1
State Health Insurance for Adults,all_persons,2020-06-01,2020-06-30,Q21,at_exit_for_leavers,2
Indian Health Services Program,all_persons,2020-06-01,2020-06-30,Q21,at_start,2
Indian Health Services Program,all_persons,2020-06-01,2020-06-30,Q21,at_annual_assessment_for_stayers,0
Indian Health Services Program,all_persons,2020-06-01,2020-06-30,Q21,at_exit_for_leavers,0
Other,all_persons,2020-06-01,2020-06-30,Q21,at_start,5
Other,all_persons,2020-06-01,2020-06-30,Q21,at_annual_assessment_for_stayers,0
Other,all_persons,2020-06-01,2020-06-30,Q21,at_exit_for_leavers,0
No Health Insurance,all_persons,2020-06-01,2020-06-30,Q21,at_start,287
No Health Insurance,all_persons,2020-06-01,2020-06-30,Q21,at_annual_assessment_for_stayers,10
No Health Insurance,all_persons,2020-06-01,2020-06-30,Q21,at_exit_for_leavers,81
Client Doesn't Know/Client Refused,all_persons,2020-06-01,2020-06-30,Q21,at_start,2
Client Doesn't Know/Client Refused,all_persons,2020-06-01,2020-06-30,Q21,at_annual_assessment_for_stayers,0
Client Doesn't Know/Client Refused,all_persons,2020-06-01,2020-06-30,Q21,at_exit_for_leavers,1
Data Not Collected,all_persons,2020-06-01,2020-06-30,Q21,at_start,77
Data Not Collected,all_persons,2020-06-01,2020-06-30,Q21,at_annual_assessment_for_stayers,247
Data Not Collected,all_persons,2020-06-01,2020-06-30,Q21,at_exit_for_leavers,1
Number of Stayers not yet Required To Have an Annual Assessment,all_persons,2020-06-01,2020-06-30,Q21,at_start,0
Number of Stayers not yet Required To Have an Annual Assessment,all_persons,2020-06-01,2020-06-30,Q21,at_annual_assessment_for_stayers,512
Number of Stayers not yet Required To Have an Annual Assessment,all_persons,2020-06-01,2020-06-30,Q21,at_exit_for_leavers,0
1 Source of Health Insurance,all_persons,2020-06-01,2020-06-30,Q21,at_start,577
1 Source of Health Insurance,all_persons,2020-06-01,2020-06-30,Q21,at_annual_assessment_for_stayers,45
1 Source of Health Insurance,all_persons,2020-06-01,2020-06-30,Q21,at_exit_for_leavers,113
More than 1 Source of Health Insurance,all_persons,2020-06-01,2020-06-30,Q21,at_start,85
More than 1 Source of Health Insurance,all_persons,2020-06-01,2020-06-30,Q21,at_annual_assessment_for_stayers,12
More than 1 Source of Health Insurance,all_persons,2020-06-01,2020-06-30,Q21,at_exit_for_leavers,18
