conditions,population,start_date,end_date,question,status,count
Mental Health Disorder,veterans,2020-06-01,2020-06-30,Q25e,conditions_at_start,13
Mental Health Disorder,veterans,2020-06-01,2020-06-30,Q25e,conditions_at_latest_assessment_for_stayers,8
Mental Health Disorder,veterans,2020-06-01,2020-06-30,Q25e,conditions_at_exit_for_leavers,5
Alcohol Use Disorder,veterans,2020-06-01,2020-06-30,Q25e,conditions_at_start,6
Alcohol Use Disorder,veterans,2020-06-01,2020-06-30,Q25e,conditions_at_latest_assessment_for_stayers,6
Alcohol Use Disorder,veterans,2020-06-01,2020-06-30,Q25e,conditions_at_exit_for_leavers,0
Drug Use Disorder,veterans,2020-06-01,2020-06-30,Q25e,conditions_at_start,1
Drug Use Disorder,veterans,2020-06-01,2020-06-30,Q25e,conditions_at_latest_assessment_for_stayers,0
Drug Use Disorder,veterans,2020-06-01,2020-06-30,Q25e,conditions_at_exit_for_leavers,1
Both Alcohol and Drug Use Disorders,veterans,2020-06-01,2020-06-30,Q25e,conditions_at_start,4
Both Alcohol and Drug Use Disorders,veterans,2020-06-01,2020-06-30,Q25e,conditions_at_latest_assessment_for_stayers,3
Both Alcohol and Drug Use Disorders,veterans,2020-06-01,2020-06-30,Q25e,conditions_at_exit_for_leavers,1
Chronic Health Condition,veterans,2020-06-01,2020-06-30,Q25e,conditions_at_start,15
Chronic Health Condition,veterans,2020-06-01,2020-06-30,Q25e,conditions_at_latest_assessment_for_stayers,11
Chronic Health Condition,veterans,2020-06-01,2020-06-30,Q25e,conditions_at_exit_for_leavers,4
HIV/AIDS,veterans,2020-06-01,2020-06-30,Q25e,conditions_at_start,2
HIV/AIDS,veterans,2020-06-01,2020-06-30,Q25e,conditions_at_latest_assessment_for_stayers,2
HIV/AIDS,veterans,2020-06-01,2020-06-30,Q25e,conditions_at_exit_for_leavers,0
Development Disability,veterans,2020-06-01,2020-06-30,Q25e,conditions_at_start,3
Development Disability,veterans,2020-06-01,2020-06-30,Q25e,conditions_at_latest_assessment_for_stayers,3
Development Disability,veterans,2020-06-01,2020-06-30,Q25e,conditions_at_exit_for_leavers,1
Physical Disability,veterans,2020-06-01,2020-06-30,Q25e,conditions_at_start,17
Physical Disability,veterans,2020-06-01,2020-06-30,Q25e,conditions_at_latest_assessment_for_stayers,12
Physical Disability,veterans,2020-06-01,2020-06-30,Q25e,conditions_at_exit_for_leavers,5
