veteran_status_persons,total,population,start_date,end_date,question,household_type,count
Chronically Homeless Veteran,17,all_persons,2020-06-01,2020-06-30,Q25a,without_children,17
Chronically Homeless Veteran,17,all_persons,2020-06-01,2020-06-30,Q25a,with_children_and_adults,0
Chronically Homeless Veteran,17,all_persons,2020-06-01,2020-06-30,Q25a,unknown_household_type,0
Non-Chronically Homeless Veteran,35,all_persons,2020-06-01,2020-06-30,Q25a,without_children,33
Non-Chronically Homeless Veteran,35,all_persons,2020-06-01,2020-06-30,Q25a,with_children_and_adults,2
Non-Chronically Homeless Veteran,35,all_persons,2020-06-01,2020-06-30,Q25a,unknown_household_type,0
Not a Veteran,778,all_persons,2020-06-01,2020-06-30,Q25a,without_children,629
Not a Veteran,778,all_persons,2020-06-01,2020-06-30,Q25a,with_children_and_adults,146
Not a Veteran,778,all_persons,2020-06-01,2020-06-30,Q25a,unknown_household_type,3
Client Doesn't Know/Client Refused,1,all_persons,2020-06-01,2020-06-30,Q25a,without_children,1
Client Doesn't Know/Client Refused,1,all_persons,2020-06-01,2020-06-30,Q25a,with_children_and_adults,0
Client Doesn't Know/Client Refused,1,all_persons,2020-06-01,2020-06-30,Q25a,unknown_household_type,0
Data Not Collected,9,all_persons,2020-06-01,2020-06-30,Q25a,without_children,6
Data Not Collected,9,all_persons,2020-06-01,2020-06-30,Q25a,with_children_and_adults,3
Data Not Collected,9,all_persons,2020-06-01,2020-06-30,Q25a,unknown_household_type,0
