ethnicity,total,population,start_date,end_date,question,household_type,count
Non-Hispanic/Non-Latin(a)(o)(x),1020,all_persons,2020-03-01,2020-03-31,Q12b,without_children,644
Non-Hispanic/Non-Latin(a)(o)(x),1020,all_persons,2020-03-01,2020-03-31,Q12b,with_children_and_adults,353
Non-Hispanic/Non-Latin(a)(o)(x),1020,all_persons,2020-03-01,2020-03-31,Q12b,with_only_children,13
Non-Hispanic/Non-Latin(a)(o)(x),1020,all_persons,2020-03-01,2020-03-31,Q12b,unknown_household_type,10
Hispanic/Latin(a)(o)(x),85,all_persons,2020-03-01,2020-03-31,Q12b,without_children,34
Hispanic/Latin(a)(o)(x),85,all_persons,2020-03-01,2020-03-31,Q12b,with_children_and_adults,49
Hispanic/Latin(a)(o)(x),85,all_persons,2020-03-01,2020-03-31,Q12b,with_only_children,2
Hispanic/Latin(a)(o)(x),85,all_persons,2020-03-01,2020-03-31,Q12b,unknown_household_type,0
Client Doesn't Know/Client Refused,2,all_persons,2020-03-01,2020-03-31,Q12b,without_children,1
Client Doesn't Know/Client Refused,2,all_persons,2020-03-01,2020-03-31,Q12b,with_children_and_adults,1
Client Doesn't Know/Client Refused,2,all_persons,2020-03-01,2020-03-31,Q12b,with_only_children,0
Client Doesn't Know/Client Refused,2,all_persons,2020-03-01,2020-03-31,Q12b,unknown_household_type,0
Data Not Collected,5,all_persons,2020-03-01,2020-03-31,Q12b,without_children,1
Data Not Collected,5,all_persons,2020-03-01,2020-03-31,Q12b,with_children_and_adults,1
Data Not Collected,5,all_persons,2020-03-01,2020-03-31,Q12b,with_only_children,0
Data Not Collected,5,all_persons,2020-03-01,2020-03-31,Q12b,unknown_household_type,3
