income_sources_exit,ao_adult_with_disabling_condition,ao_adult_without_disabling_condition,ao_total_adults,ao_percent_with_disabling_condition_by_source,ac_adult_with_disabling_condition,ac_adult_without_disabling_condition,ac_total_adults,ac_percent_with_disabling_condition_by_source,uk_adult_with_disabling_condition,uk_adult_without_disabling_condition,uk_total_adults,uk_percent_with_disabling_condition_by_source,population,start_date,end_date,question
Earned Income,10,29,39,0.26,4,12,16,0.25,0,0,0,0.0,adults,2020-03-01,2020-03-31,Q19b
Supplemental Security Income (SSI),18,1,19,0.95,1,1,2,0.5,0,0,0,0.0,adults,2020-03-01,2020-03-31,Q19b
Social Security Disability Insurance (SSDI),11,0,11,1.0,1,1,2,0.5,0,0,0,0.0,adults,2020-03-01,2020-03-31,Q19b
VA Service-Connected Disability Compensation,1,0,1,1.0,0,0,0,0.0,0,0,0,0.0,adults,2020-03-01,2020-03-31,Q19b
Private Disability Insurance,0,0,0,0.0,1,0,1,1.0,0,0,0,0.0,adults,2020-03-01,2020-03-31,Q19b
Worker's Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2020-03-01,2020-03-31,Q19b
Temporary Assistance for Needy Families (TANF),0,0,0,0.0,0,1,1,0.0,0,0,0,0.0,adults,2020-03-01,2020-03-31,Q19b
Retirement Income from Social Security,3,1,4,0.75,0,0,0,0.0,0,0,0,0.0,adults,2020-03-01,2020-03-31,Q19b
Pension or retirement income from a former job,1,1,2,0.5,0,0,0,0.0,0,0,0,0.0,adults,2020-03-01,2020-03-31,Q19b
Child Support,0,2,2,0.0,2,3,5,0.4,0,0,0,0.0,adults,2020-03-01,2020-03-31,Q19b
Other source,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2020-03-01,2020-03-31,Q19b
No Sources,29,38,67,0.43,2,7,9,0.22,0,0,0,0.0,adults,2020-03-01,2020-03-31,Q19b
Unduplicated Total Adults,67,69,136,NA,9,22,31,NA,0,0,0,NA,adults,2020-03-01,2020-03-31,Q19b
