number_of_adults_by_income_category,population,start_date,end_date,question,status,count
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2020-03-01,2020-03-31,Q18,number_of_adults_at_start,176
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2020-03-01,2020-03-31,Q18,number_of_adults_at_annual_assessment_stayers,7
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2020-03-01,2020-03-31,Q18,number_of_adults_at_exit_leavers,43
Adults with Only Other Income,all_persons,2020-03-01,2020-03-31,Q18,number_of_adults_at_start,181
Adults with Only Other Income,all_persons,2020-03-01,2020-03-31,Q18,number_of_adults_at_annual_assessment_stayers,36
Adults with Only Other Income,all_persons,2020-03-01,2020-03-31,Q18,number_of_adults_at_exit_leavers,38
Adults with Both Earned and Other Income,all_persons,2020-03-01,2020-03-31,Q18,number_of_adults_at_start,36
Adults with Both Earned and Other Income,all_persons,2020-03-01,2020-03-31,Q18,number_of_adults_at_annual_assessment_stayers,1
Adults with Both Earned and Other Income,all_persons,2020-03-01,2020-03-31,Q18,number_of_adults_at_exit_leavers,8
Adults with No Income,all_persons,2020-03-01,2020-03-31,Q18,number_of_adults_at_start,437
Adults with No Income,all_persons,2020-03-01,2020-03-31,Q18,number_of_adults_at_annual_assessment_stayers,16
Adults with No Income,all_persons,2020-03-01,2020-03-31,Q18,number_of_adults_at_exit_leavers,155
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2020-03-01,2020-03-31,Q18,number_of_adults_at_start,2
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2020-03-01,2020-03-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2020-03-01,2020-03-31,Q18,number_of_adults_at_exit_leavers,1
Adults with Missing Income Information,all_persons,2020-03-01,2020-03-31,Q18,number_of_adults_at_start,15
Adults with Missing Income Information,all_persons,2020-03-01,2020-03-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Missing Income Information,all_persons,2020-03-01,2020-03-31,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2020-03-01,2020-03-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2020-03-01,2020-03-31,Q18,number_of_adults_at_annual_assessment_stayers,402
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2020-03-01,2020-03-31,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2020-03-01,2020-03-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2020-03-01,2020-03-31,Q18,number_of_adults_at_annual_assessment_stayers,145
Number of Adult Stayers without Required Annual Assessment,all_persons,2020-03-01,2020-03-31,Q18,number_of_adults_at_exit_leavers,0
Total Adults,all_persons,2020-03-01,2020-03-31,Q18,number_of_adults_at_start,852
Total Adults,all_persons,2020-03-01,2020-03-31,Q18,number_of_adults_at_annual_assessment_stayers,607
Total Adults,all_persons,2020-03-01,2020-03-31,Q18,number_of_adults_at_exit_leavers,245
1 or More Source of Income,all_persons,2020-03-01,2020-03-31,Q18,number_of_adults_at_start,434
1 or More Source of Income,all_persons,2020-03-01,2020-03-31,Q18,number_of_adults_at_annual_assessment_stayers,46
1 or More Source of Income,all_persons,2020-03-01,2020-03-31,Q18,number_of_adults_at_exit_leavers,99
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2020-03-01,2020-03-31,Q18,number_of_adults_at_start,0
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2020-03-01,2020-03-31,Q18,number_of_adults_at_annual_assessment_stayers,60
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2020-03-01,2020-03-31,Q18,number_of_adults_at_exit_leavers,0
