veteran_status_persons,total,population,start_date,end_date,question,household_type,count
Chronically Homeless Veteran,17,all_persons,2020-03-01,2020-03-31,Q25a,without_children,17
Chronically Homeless Veteran,17,all_persons,2020-03-01,2020-03-31,Q25a,with_children_and_adults,0
Chronically Homeless Veteran,17,all_persons,2020-03-01,2020-03-31,Q25a,unknown_household_type,0
Non-Chronically Homeless Veteran,32,all_persons,2020-03-01,2020-03-31,Q25a,without_children,28
Non-Chronically Homeless Veteran,32,all_persons,2020-03-01,2020-03-31,Q25a,with_children_and_adults,3
Non-Chronically Homeless Veteran,32,all_persons,2020-03-01,2020-03-31,Q25a,unknown_household_type,1
Not a Veteran,794,all_persons,2020-03-01,2020-03-31,Q25a,without_children,629
Not a Veteran,794,all_persons,2020-03-01,2020-03-31,Q25a,with_children_and_adults,162
Not a Veteran,794,all_persons,2020-03-01,2020-03-31,Q25a,unknown_household_type,3
Client Doesn't Know/Client Refused,1,all_persons,2020-03-01,2020-03-31,Q25a,without_children,1
Client Doesn't Know/Client Refused,1,all_persons,2020-03-01,2020-03-31,Q25a,with_children_and_adults,0
Client Doesn't Know/Client Refused,1,all_persons,2020-03-01,2020-03-31,Q25a,unknown_household_type,0
Data Not Collected,8,all_persons,2020-03-01,2020-03-31,Q25a,without_children,5
Data Not Collected,8,all_persons,2020-03-01,2020-03-31,Q25a,with_children_and_adults,3
Data Not Collected,8,all_persons,2020-03-01,2020-03-31,Q25a,unknown_household_type,0
