, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",50,32,18,0,0
"""8 to 14 days""",7,4,3,0,0
"""15 to 21 days""",6,3,3,0,0
"""22 to 30 days""",6,1,5,0,0
"""31 to 60 days""",20,12,8,0,0
"""61 to 180 days""",39,21,18,0,0
"""181 to 365 days""",19,13,6,0,0
"""366-730 days (1-2 years)""",24,22,2,0,0
"""731 days or more""",53,42,11,0,0
"""Total (persons moved into housing)""",224,150,74,0,0
"""Not yet moved into housing""",35,21,14,0,0
"""Data not collected""",10,9,1,0,0
"""Total persons""",269,180,89,0,0
