"""Total Number of Persons Served""",1041
"""Number of Adults (age 18 or over)""",802
"""Number of Children (under age 18)""",230
"""Number of Persons with Unknown Age""",9
"""Number of Leavers""",173
"""Number of Adult Leavers""",158
"""Number of Adult and Head of Household Leavers""",158
"""Number of Stayers""",868
"""Number of Adult Stayers""",644
"""Number of Veterans""",45
"""Number of Chronically Homeless Persons""",158
"""Number of Youth Under Age 25""",53
"""Number of Parenting Youth Under Age 25 with Children""",8
"""Number of Adult Heads of Household""",661
"""Number of Child and Unknown-Age Heads of Household""",0
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",277
