"""Total Number of Persons Served""",639
"""Number of Adults (age 18 or over)""",442
"""Number of Children (under age 18)""",195
"""Number of Persons with Unknown Age""",2
"""Number of Leavers""",170
"""Number of Adult Leavers""",102
"""Number of Adult and Head of Household Leavers""",102
"""Number of Stayers""",469
"""Number of Adult Stayers""",340
"""Number of Veterans""",28
"""Number of Chronically Homeless Persons""",55
"""Number of Youth Under Age 25""",21
"""Number of Parenting Youth Under Age 25 with Children""",7
"""Number of Adult Heads of Household""",355
"""Number of Child and Unknown-Age Heads of Household""",1
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",138
