, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Permanent Destinations""",,,,,
"""Moved from one HOPWA funded project to HOPWA PH""",0,0,0,0,0
"""Owned by client, no ongoing subsidy""",0,0,0,0,0
"""Owned by client, with ongoing subsidy""",0,0,0,0,0
"""Rental by client, no ongoing subsidy""",114,25,88,1,0
"""Rental by client, with VASH subsidy""",6,3,3,0,0
"""Rental by client, with GPD TIP subsidy""",0,0,0,0,0
"""Rental by client, other ongoing subsidy""",12,3,9,0,0
"""Permanent housing (other than RRH) for formerly homeless persons""",0,0,0,0,0
"""Staying or living with family, permanent tenure""",8,1,7,0,0
"""Staying or living with friends, permanent tenure""",7,2,5,0,0
"""Rental by client, with RRH or equivalent subsidy""",0,0,0,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",0,0,0,0,0
"""Rental by client in a public housing unit""",0,0,0,0,0
"""Subtotal""",147,34,112,1,0
"""Temporary Destinations""",,,,,
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",0,0,0,0,0
"""Moved from one HOPWA funded project to HOPWA TH""",0,0,0,0,0
"""Transitional housing for homeless persons (including homeless youth)""",0,0,0,0,0
"""Staying or living with family, temporary tenure""",1,1,0,0,0
"""Staying or living with friends, temporary tenure""",0,0,0,0,0
"""Place not meant for human habitation""",0,0,0,0,0
"""Safe Haven""",0,0,0,0,0
"""Hotel or motel, paid by client""",0,0,0,0,0
"""Host Home (non-crisis) """,0,0,0,0,0
"""Subtotal""",1,1,0,0,0
"""Institutional Settings""",,,,,
"""Foster care home or group foster care home""",0,0,0,0,0
"""Psychiatric hospital or other psychiatric facility""",2,1,1,0,0
"""Substance abuse treatment facility or detox center""",0,0,0,0,0
"""Hospital  or other residential non-psychiatric medical facility""",2,2,0,0,0
"""Jail, prison, or juvenile detention facility""",1,1,0,0,0
"""Long-term care facility or nursing home""",1,1,0,0,0
"""Subtotal""",6,5,1,0,0
"""Other Destinations""",,,,,
"""Residential project or halfway house with no homeless criteria""",0,0,0,0,0
"""Deceased""",0,0,0,0,0
"""Other""",5,0,5,0,0
"""Client Doesn't Know/Client Refused""",1,1,0,0,0
"""Data Not Collected (no exit interview completed)""",10,10,0,0,0
"""Subtotal""",16,11,5,0,0
"""Total""",170,51,118,1,0
"""Total persons exiting to positive housing destinations""",77,15,62,0,0
"""Total persons whose destinations excluded them from the calculation""",3,3,0,0,0
"""Percentage""",0.46,0.31,0.53,0.0,0.0
