, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Homeless Situations"""
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",97,68,29,0,0
"""Transitional housing for homeless persons (including homeless youth)""",1,1,0,0,0
"""Place not meant for human habitation""",46,35,11,0,0
"""Safe Haven""",0,0,0,0,0
"""Host Home""",0,0,0,0,0
"""Subtotal""",144,104,40,0,0
"""Institutional Settings"""
"""Psychiatric hospital or other psychiatric facility""",2,2,0,0,0
"""Substance abuse treatment facility or detox center""",2,1,1,0,0
"""Hospital or other residential non-psychiatric medical facility""",5,4,1,0,0
"""Jail, prison or juvenile detention facility""",9,9,0,0,0
"""Foster care home or foster care group home""",0,0,0,0,0
"""Long-term care facility or nursing home""",0,0,0,0,0
"""Residential project or halfway house with no homeless criteria""",1,1,0,0,0
"""Subtotal""",19,17,2,0,0
"""Other Locations"""
"""Permanent housing (other than RRH) for formerly homeless persons""",1,1,0,0,0
"""Owned by client, no ongoing housing subsidy""",9,3,6,0,0
"""Owned by client, with ongoing housing subsidy""",2,2,0,0,0
"""Rental by client, with RRH or equivalent subsidy""",0,0,0,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",0,0,0,0,0
"""Rental by client in a public housing unit""",0,0,0,0,0
"""Rental by client, no ongoing housing subsidy""",132,90,42,0,0
"""Rental by client, with VASH housing subsidy""",0,0,0,0,0
"""Rental by client, with GPD TIP housing subsidy""",0,0,0,0,0
"""Rental by client, with other housing subsidy (including RRH)""",7,6,1,0,0
"""Hotel or motel paid for without emergency shelter voucher""",20,13,7,0,0
"""Staying or living in a friend''s room, apartment or house""",33,16,17,0,0
"""Staying or living in a family member''s room, apartment or house""",51,25,25,1,0
"""Client Doesn''t Know/Client Refused""",0,0,0,0,0
"""Data not collected""",25,20,4,0,1
"""Subtotal""",280,176,102,1,1
"""Total""",443,297,144,1,1
