, "AO: Adult with Disabling Condition" , "AO: Adult without Disabling Condition" , "AO: Total Adults" , "AO: % with Disabling Condition by Source" , "AC: Adult with Disabling Condition" , "AC: Adult without Disabling Condition" , "AC: Total Adults" , "AC: % with Disabling Condition by Source" , "UK: Adult with Disabling Condition" , "UK: Adult without Disabling Condition" , "UK: Total Adults" , "UK: % with Disabling Condition by Source"
"""Earned Income""",4,11,15,0.27,4,19,23,0.17,0,0,0,0.0
"""Supplemental Security Income (SSI)""",6,0,6,1.0,2,1,3,0.67,0,0,0,0.0
"""Social Security Disability Insurance (SSDI)""",6,1,7,0.86,2,0,2,1.0,0,0,0,0.0
"""VA Service-Connected Disability Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Private Disability Insurance""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Worker's Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Temporary Assistance for Needy Families (TANF)""",0,0,0,0.0,2,3,5,0.4,0,0,0,0.0
"""Retirement Income from Social Security""",2,0,2,1.0,0,1,1,0.0,0,0,0,0.0
"""Pension or retirement income from a former job""",1,0,1,1.0,0,0,0,0.0,0,0,0,0.0
"""Child Support""",0,0,0,0.0,3,1,4,0.75,0,0,0,0.0
"""Other source""",0,0,0,0.0,2,0,2,1.0,0,0,0,0.0
"""No Sources""",6,9,15,0.4,4,9,13,0.31,0,0,0,0.0
"""Unduplicated Total Adults""",21,20,41,,14,31,45,,0,0,0,
