"""Number of Adults by Income Category""", "Number of Adults at Start" , "Number of Adults at Annual Assessment (Stayers)" , "Number of Adults at Exit (Leavers)"
"""Adults with Only Earned Income (ie.e, Employment Income)""",118,7,32
"""Adults with Only Other Income""",129,23,20
"""Adults with Both Earned and Other Income""",16,1,7
"""Adults with No Income""",155,18,36
"""Adults with Client Doesn't Know/Client Refused Income Information""",1,0,0
"""Adults with Missing Income Information""",23,0,7
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,202,0
"""Number of Adult Stayers without Required Annual Assessment""",0,89,0
"""Total Adults""",442,340,102
"""1 or More Source of Income""",276,34,66
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,49,0
