, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Homeless Situations"""
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",184,160,24,0,0
"""Transitional housing for homeless persons (including homeless youth)""",4,4,0,0,0
"""Place not meant for human habitation""",322,302,20,0,0
"""Safe Haven""",8,6,2,0,0
"""Host Home""",1,0,1,0,0
"""Subtotal""",519,472,47,0,0
"""Institutional Settings"""
"""Psychiatric hospital or other psychiatric facility""",6,6,0,0,0
"""Substance abuse treatment facility or detox center""",15,15,0,0,0
"""Hospital or other residential non-psychiatric medical facility""",33,33,0,0,0
"""Jail, prison or juvenile detention facility""",36,36,0,0,0
"""Foster care home or foster care group home""",0,0,0,0,0
"""Long-term care facility or nursing home""",0,0,0,0,0
"""Residential project or halfway house with no homeless criteria""",5,5,0,0,0
"""Subtotal""",95,95,0,0,0
"""Other Locations"""
"""Permanent housing (other than RRH) for formerly homeless persons""",2,2,0,0,0
"""Owned by client, no ongoing housing subsidy""",10,9,1,0,0
"""Owned by client, with ongoing housing subsidy""",4,4,0,0,0
"""Rental by client, with RRH or equivalent subsidy""",0,0,0,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",6,0,6,0,0
"""Rental by client in a public housing unit""",3,3,0,0,0
"""Rental by client, no ongoing housing subsidy""",254,163,88,0,3
"""Rental by client, with VASH housing subsidy""",1,0,1,0,0
"""Rental by client, with GPD TIP housing subsidy""",2,2,0,0,0
"""Rental by client, with other housing subsidy (including RRH)""",13,7,6,0,0
"""Hotel or motel paid for without emergency shelter voucher""",163,117,44,0,2
"""Staying or living in a friend''s room, apartment or house""",133,103,29,0,1
"""Staying or living in a family member''s room, apartment or house""",145,98,47,0,0
"""Client Doesn''t Know/Client Refused""",24,24,0,0,0
"""Data not collected""",73,34,35,0,4
"""Subtotal""",833,566,257,0,10
"""Total""",1447,1133,304,0,10
