, "Income at Start" , "Income at Latest Annual Assessment for Stayers" , "Income at Exit for Leavers"
"""Earned Income""",244,9,20
"""Unemployment Insurance""",4,0,1
"""Supplemental Security Income (SSI)""",154,20,12
"""Social Security Disability Insurance (SSDI)""",111,12,7
"""VA Service - Connected Disability Compensation""",8,1,0
"""VA Non-Service Connected Disability Pension""",5,3,0
"""Private Disability Insurance""",1,0,0
"""Worker's Compensation""",0,0,0
"""Temporary Assistance for Needy Families (TANF)""",21,0,0
"""General Assistance (GA)""",0,0,0
"""Retirement Income from Social Security""",23,5,1
"""Pension or retirement income from a former job""",7,0,0
"""Child Support""",12,0,0
"""Alimony and other spousal support""",0,0,0
"""Other Source""",16,0,1
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,53,0
