"""Total Number of Persons Served""",1927
"""Number of Adults (age 18 or over)""",1442
"""Number of Children (under age 18)""",468
"""Number of Persons with Unknown Age""",17
"""Number of Leavers""",223
"""Number of Adult Leavers""",159
"""Number of Adult and Head of Household Leavers""",159
"""Number of Stayers""",1704
"""Number of Adult Stayers""",1283
"""Number of Veterans""",88
"""Number of Chronically Homeless Persons""",218
"""Number of Youth Under Age 25""",108
"""Number of Parenting Youth Under Age 25 with Children""",10
"""Number of Adult Heads of Household""",1165
"""Number of Child and Unknown-Age Heads of Household""",5
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",539
