, "Total" , "Without Children", "With Children and Adults", "With Only Children", "Unknown Household Type"
"""7 days or less""",6,4,2,0,0
"""8 to 14 days""",0,0,0,0,0
"""15 to 21 days""",0,0,0,0,0
"""22 to 30 days""",0,0,0,0,0
"""31 to 60 days""",0,0,0,0,0
"""61 to 180 days""",4,0,4,0,0
"""181 to 365 days""",0,0,0,0,0
"""366 to 730 days (1-2 Yrs)""",0,0,0,0,0
"""Total (persons moved into housing)""",10,4,6,0,0
"""Average length of time to housing""",40,0,67,0,0
"""Persons who were exited without move-in""",1,1,0,0,0
"""Total""",11,5,6,0,0
