, "AO: Adult with Disabling Condition" , "AO: Adult without Disabling Condition" , "AO: Total Adults" , "AO: % with Disabling Condition by Source" , "AC: Adult with Disabling Condition" , "AC: Adult without Disabling Condition" , "AC: Total Adults" , "AC: % with Disabling Condition by Source" , "UK: Adult with Disabling Condition" , "UK: Adult without Disabling Condition" , "UK: Total Adults" , "UK: % with Disabling Condition by Source"
"""Earned Income""",7,14,21,0.33,1,5,6,0.17,0,0,0,0.0
"""Supplemental Security Income (SSI)""",8,1,9,0.89,1,1,2,0.5,0,0,0,0.0
"""Social Security Disability Insurance (SSDI)""",7,0,7,1.0,0,0,0,0.0,0,0,0,0.0
"""VA Service-Connected Disability Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Private Disability Insurance""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Worker's Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Temporary Assistance for Needy Families (TANF)""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Retirement Income from Social Security""",0,1,1,0.0,0,0,0,0.0,0,0,0,0.0
"""Pension or retirement income from a former job""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Child Support""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Other source""",2,1,3,0.67,0,1,1,0.0,0,0,0,0.0
"""No Sources""",15,14,29,0.52,1,14,15,0.07,0,0,0,0.0
"""Unduplicated Total Adults""",35,31,66,,3,21,24,,0,0,0,
