income_sources,population,start_date,end_date,question,status,count
Earned Income,adults,2016-08-01,2016-08-31,Q17,income_at_start,168
Earned Income,adults,2016-08-01,2016-08-31,Q17,income_at_latest_annual_assessment_for_stayers,2
Earned Income,adults,2016-08-01,2016-08-31,Q17,income_at_exit_for_leavers,39
Unemployment Insurance,adults,2016-08-01,2016-08-31,Q17,income_at_start,1
Unemployment Insurance,adults,2016-08-01,2016-08-31,Q17,income_at_latest_annual_assessment_for_stayers,1
Unemployment Insurance,adults,2016-08-01,2016-08-31,Q17,income_at_exit_for_leavers,0
Supplemental Security Income (SSI),adults,2016-08-01,2016-08-31,Q17,income_at_start,79
Supplemental Security Income (SSI),adults,2016-08-01,2016-08-31,Q17,income_at_latest_annual_assessment_for_stayers,14
Supplemental Security Income (SSI),adults,2016-08-01,2016-08-31,Q17,income_at_exit_for_leavers,12
Social Security Disability Insurance (SSDI),adults,2016-08-01,2016-08-31,Q17,income_at_start,52
Social Security Disability Insurance (SSDI),adults,2016-08-01,2016-08-31,Q17,income_at_latest_annual_assessment_for_stayers,9
Social Security Disability Insurance (SSDI),adults,2016-08-01,2016-08-31,Q17,income_at_exit_for_leavers,14
VA Service - Connected Disability Compensation,adults,2016-08-01,2016-08-31,Q17,income_at_start,5
VA Service - Connected Disability Compensation,adults,2016-08-01,2016-08-31,Q17,income_at_latest_annual_assessment_for_stayers,0
VA Service - Connected Disability Compensation,adults,2016-08-01,2016-08-31,Q17,income_at_exit_for_leavers,0
VA Non-Service Connected Disability Pension,adults,2016-08-01,2016-08-31,Q17,income_at_start,3
VA Non-Service Connected Disability Pension,adults,2016-08-01,2016-08-31,Q17,income_at_latest_annual_assessment_for_stayers,0
VA Non-Service Connected Disability Pension,adults,2016-08-01,2016-08-31,Q17,income_at_exit_for_leavers,0
Private Disability Insurance,adults,2016-08-01,2016-08-31,Q17,income_at_start,0
Private Disability Insurance,adults,2016-08-01,2016-08-31,Q17,income_at_latest_annual_assessment_for_stayers,0
Private Disability Insurance,adults,2016-08-01,2016-08-31,Q17,income_at_exit_for_leavers,0
Worker's Compensation,adults,2016-08-01,2016-08-31,Q17,income_at_start,0
Worker's Compensation,adults,2016-08-01,2016-08-31,Q17,income_at_latest_annual_assessment_for_stayers,0
Worker's Compensation,adults,2016-08-01,2016-08-31,Q17,income_at_exit_for_leavers,0
Temporary Assistance for Needy Families (TANF),adults,2016-08-01,2016-08-31,Q17,income_at_start,10
Temporary Assistance for Needy Families (TANF),adults,2016-08-01,2016-08-31,Q17,income_at_latest_annual_assessment_for_stayers,0
Temporary Assistance for Needy Families (TANF),adults,2016-08-01,2016-08-31,Q17,income_at_exit_for_leavers,1
General Assistance (GA),adults,2016-08-01,2016-08-31,Q17,income_at_start,0
General Assistance (GA),adults,2016-08-01,2016-08-31,Q17,income_at_latest_annual_assessment_for_stayers,0
General Assistance (GA),adults,2016-08-01,2016-08-31,Q17,income_at_exit_for_leavers,0
Retirement Income from Social Security,adults,2016-08-01,2016-08-31,Q17,income_at_start,7
Retirement Income from Social Security,adults,2016-08-01,2016-08-31,Q17,income_at_latest_annual_assessment_for_stayers,0
Retirement Income from Social Security,adults,2016-08-01,2016-08-31,Q17,income_at_exit_for_leavers,2
Pension or retirement income from a former job,adults,2016-08-01,2016-08-31,Q17,income_at_start,5
Pension or retirement income from a former job,adults,2016-08-01,2016-08-31,Q17,income_at_latest_annual_assessment_for_stayers,0
Pension or retirement income from a former job,adults,2016-08-01,2016-08-31,Q17,income_at_exit_for_leavers,3
Child Support,adults,2016-08-01,2016-08-31,Q17,income_at_start,23
Child Support,adults,2016-08-01,2016-08-31,Q17,income_at_latest_annual_assessment_for_stayers,0
Child Support,adults,2016-08-01,2016-08-31,Q17,income_at_exit_for_leavers,6
Alimony and other spousal support,adults,2016-08-01,2016-08-31,Q17,income_at_start,1
Alimony and other spousal support,adults,2016-08-01,2016-08-31,Q17,income_at_latest_annual_assessment_for_stayers,0
Alimony and other spousal support,adults,2016-08-01,2016-08-31,Q17,income_at_exit_for_leavers,0
Other Source,adults,2016-08-01,2016-08-31,Q17,income_at_start,5
Other Source,adults,2016-08-01,2016-08-31,Q17,income_at_latest_annual_assessment_for_stayers,0
Other Source,adults,2016-08-01,2016-08-31,Q17,income_at_exit_for_leavers,1
Adults with Income Information at Start and Annual Assessment/Exit,adults,2016-08-01,2016-08-31,Q17,income_at_start,0
Adults with Income Information at Start and Annual Assessment/Exit,adults,2016-08-01,2016-08-31,Q17,income_at_latest_annual_assessment_for_stayers,32
Adults with Income Information at Start and Annual Assessment/Exit,adults,2016-08-01,2016-08-31,Q17,income_at_exit_for_leavers,0
