number_of_adults_by_income_category,population,start_date,end_date,question,status,count
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2016-08-01,2016-08-31,Q18,number_of_adults_at_start,143
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2016-08-01,2016-08-31,Q18,number_of_adults_at_annual_assessment_stayers,2
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2016-08-01,2016-08-31,Q18,number_of_adults_at_exit_leavers,33
Adults with Only Other Income,all_persons,2016-08-01,2016-08-31,Q18,number_of_adults_at_start,128
Adults with Only Other Income,all_persons,2016-08-01,2016-08-31,Q18,number_of_adults_at_annual_assessment_stayers,20
Adults with Only Other Income,all_persons,2016-08-01,2016-08-31,Q18,number_of_adults_at_exit_leavers,23
Adults with Both Earned and Other Income,all_persons,2016-08-01,2016-08-31,Q18,number_of_adults_at_start,25
Adults with Both Earned and Other Income,all_persons,2016-08-01,2016-08-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Both Earned and Other Income,all_persons,2016-08-01,2016-08-31,Q18,number_of_adults_at_exit_leavers,6
Adults with No Income,all_persons,2016-08-01,2016-08-31,Q18,number_of_adults_at_start,174
Adults with No Income,all_persons,2016-08-01,2016-08-31,Q18,number_of_adults_at_annual_assessment_stayers,10
Adults with No Income,all_persons,2016-08-01,2016-08-31,Q18,number_of_adults_at_exit_leavers,39
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2016-08-01,2016-08-31,Q18,number_of_adults_at_start,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2016-08-01,2016-08-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2016-08-01,2016-08-31,Q18,number_of_adults_at_exit_leavers,0
Adults with Missing Income Information,all_persons,2016-08-01,2016-08-31,Q18,number_of_adults_at_start,8
Adults with Missing Income Information,all_persons,2016-08-01,2016-08-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Missing Income Information,all_persons,2016-08-01,2016-08-31,Q18,number_of_adults_at_exit_leavers,2
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2016-08-01,2016-08-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2016-08-01,2016-08-31,Q18,number_of_adults_at_annual_assessment_stayers,268
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2016-08-01,2016-08-31,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2016-08-01,2016-08-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2016-08-01,2016-08-31,Q18,number_of_adults_at_annual_assessment_stayers,76
Number of Adult Stayers without Required Annual Assessment,all_persons,2016-08-01,2016-08-31,Q18,number_of_adults_at_exit_leavers,0
Total Adults,all_persons,2016-08-01,2016-08-31,Q18,number_of_adults_at_start,479
Total Adults,all_persons,2016-08-01,2016-08-31,Q18,number_of_adults_at_annual_assessment_stayers,376
Total Adults,all_persons,2016-08-01,2016-08-31,Q18,number_of_adults_at_exit_leavers,103
1 or More Source of Income,all_persons,2016-08-01,2016-08-31,Q18,number_of_adults_at_start,314
1 or More Source of Income,all_persons,2016-08-01,2016-08-31,Q18,number_of_adults_at_annual_assessment_stayers,26
1 or More Source of Income,all_persons,2016-08-01,2016-08-31,Q18,number_of_adults_at_exit_leavers,62
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2016-08-01,2016-08-31,Q18,number_of_adults_at_start,0
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2016-08-01,2016-08-31,Q18,number_of_adults_at_annual_assessment_stayers,32
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2016-08-01,2016-08-31,Q18,number_of_adults_at_exit_leavers,0
