report_validations,count,population,start_date,end_date,question
Total Number of Persons Served,705,all_persons,2016-08-01,2016-08-31,Q5a
Number of Adults (age 18 or over),479,all_persons,2016-08-01,2016-08-31,Q5a
Number of Children (under age 18),224,all_persons,2016-08-01,2016-08-31,Q5a
Number of Persons with Unknown Age,2,all_persons,2016-08-01,2016-08-31,Q5a
Number of Leavers,149,all_persons,2016-08-01,2016-08-31,Q5a
Number of Adult Leavers,103,all_persons,2016-08-01,2016-08-31,Q5a
Number of Adult and Head of Household Leavers,103,all_persons,2016-08-01,2016-08-31,Q5a
Number of Stayers,556,all_persons,2016-08-01,2016-08-31,Q5a
Number of Adult Stayers,376,all_persons,2016-08-01,2016-08-31,Q5a
Number of Veterans,29,all_persons,2016-08-01,2016-08-31,Q5a
Number of Chronically Homeless Persons,50,all_persons,2016-08-01,2016-08-31,Q5a
Number of Youth Under Age 25,31,all_persons,2016-08-01,2016-08-31,Q5a
Number of Parenting Youth Under Age 25 with Children,15,all_persons,2016-08-01,2016-08-31,Q5a
Number of Adult Heads of Household,364,all_persons,2016-08-01,2016-08-31,Q5a
Number of Child and Unknown-Age Heads of Household,0,all_persons,2016-08-01,2016-08-31,Q5a
Heads of Households and Adult Stayers in the Project 365 Days or More,108,all_persons,2016-08-01,2016-08-31,Q5a
