number_of_adults_by_income_category,population,start_date,end_date,question,status,count
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2018-06-01,2018-06-30,Q18,number_of_adults_at_start,83
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2018-06-01,2018-06-30,Q18,number_of_adults_at_annual_assessment_stayers,4
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2018-06-01,2018-06-30,Q18,number_of_adults_at_exit_leavers,28
Adults with Only Other Income,all_persons,2018-06-01,2018-06-30,Q18,number_of_adults_at_start,108
Adults with Only Other Income,all_persons,2018-06-01,2018-06-30,Q18,number_of_adults_at_annual_assessment_stayers,30
Adults with Only Other Income,all_persons,2018-06-01,2018-06-30,Q18,number_of_adults_at_exit_leavers,29
Adults with Both Earned and Other Income,all_persons,2018-06-01,2018-06-30,Q18,number_of_adults_at_start,20
Adults with Both Earned and Other Income,all_persons,2018-06-01,2018-06-30,Q18,number_of_adults_at_annual_assessment_stayers,1
Adults with Both Earned and Other Income,all_persons,2018-06-01,2018-06-30,Q18,number_of_adults_at_exit_leavers,6
Adults with No Income,all_persons,2018-06-01,2018-06-30,Q18,number_of_adults_at_start,155
Adults with No Income,all_persons,2018-06-01,2018-06-30,Q18,number_of_adults_at_annual_assessment_stayers,11
Adults with No Income,all_persons,2018-06-01,2018-06-30,Q18,number_of_adults_at_exit_leavers,42
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2018-06-01,2018-06-30,Q18,number_of_adults_at_start,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2018-06-01,2018-06-30,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2018-06-01,2018-06-30,Q18,number_of_adults_at_exit_leavers,0
Adults with Missing Income Information,all_persons,2018-06-01,2018-06-30,Q18,number_of_adults_at_start,7
Adults with Missing Income Information,all_persons,2018-06-01,2018-06-30,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Missing Income Information,all_persons,2018-06-01,2018-06-30,Q18,number_of_adults_at_exit_leavers,1
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2018-06-01,2018-06-30,Q18,number_of_adults_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2018-06-01,2018-06-30,Q18,number_of_adults_at_annual_assessment_stayers,180
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2018-06-01,2018-06-30,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2018-06-01,2018-06-30,Q18,number_of_adults_at_start,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2018-06-01,2018-06-30,Q18,number_of_adults_at_annual_assessment_stayers,41
Number of Adult Stayers without Required Annual Assessment,all_persons,2018-06-01,2018-06-30,Q18,number_of_adults_at_exit_leavers,0
Total Adults,all_persons,2018-06-01,2018-06-30,Q18,number_of_adults_at_start,373
Total Adults,all_persons,2018-06-01,2018-06-30,Q18,number_of_adults_at_annual_assessment_stayers,267
Total Adults,all_persons,2018-06-01,2018-06-30,Q18,number_of_adults_at_exit_leavers,106
1 or More Source of Income,all_persons,2018-06-01,2018-06-30,Q18,number_of_adults_at_start,228
1 or More Source of Income,all_persons,2018-06-01,2018-06-30,Q18,number_of_adults_at_annual_assessment_stayers,38
1 or More Source of Income,all_persons,2018-06-01,2018-06-30,Q18,number_of_adults_at_exit_leavers,71
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2018-06-01,2018-06-30,Q18,number_of_adults_at_start,0
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2018-06-01,2018-06-30,Q18,number_of_adults_at_annual_assessment_stayers,46
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2018-06-01,2018-06-30,Q18,number_of_adults_at_exit_leavers,0
