income_sources_exit,ao_adult_with_disabling_condition,ao_adult_without_disabling_condition,ao_total_adults,ao_percent_with_disabling_condition_by_source,ac_adult_with_disabling_condition,ac_adult_without_disabling_condition,ac_total_adults,ac_percent_with_disabling_condition_by_source,uk_adult_with_disabling_condition,uk_adult_without_disabling_condition,uk_total_adults,uk_percent_with_disabling_condition_by_source,population,start_date,end_date,question
Earned Income,15,5,20,0.75,2,15,17,0.12,0,0,0,0.0,adults,2018-06-01,2018-06-30,Q19b
Supplemental Security Income (SSI),9,1,10,0.9,1,1,2,0.5,0,0,0,0.0,adults,2018-06-01,2018-06-30,Q19b
Social Security Disability Insurance (SSDI),12,0,12,1.0,0,1,1,0.0,0,0,0,0.0,adults,2018-06-01,2018-06-30,Q19b
VA Service-Connected Disability Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2018-06-01,2018-06-30,Q19b
Private Disability Insurance,1,0,1,1.0,0,0,0,0.0,0,0,0,0.0,adults,2018-06-01,2018-06-30,Q19b
Worker's Compensation,1,0,1,1.0,0,0,0,0.0,0,0,0,0.0,adults,2018-06-01,2018-06-30,Q19b
Temporary Assistance for Needy Families (TANF),1,1,2,0.5,1,4,5,0.2,0,0,0,0.0,adults,2018-06-01,2018-06-30,Q19b
Retirement Income from Social Security,0,1,1,0.0,0,0,0,0.0,0,0,0,0.0,adults,2018-06-01,2018-06-30,Q19b
Pension or retirement income from a former job,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2018-06-01,2018-06-30,Q19b
Child Support,0,0,0,0.0,1,4,5,0.2,0,0,0,0.0,adults,2018-06-01,2018-06-30,Q19b
Other source,1,0,1,1.0,0,1,1,0.0,0,0,0,0.0,adults,2018-06-01,2018-06-30,Q19b
No Sources,13,4,17,0.76,5,12,17,0.29,0,0,0,0.0,adults,2018-06-01,2018-06-30,Q19b
Unduplicated Total Adults,48,12,60,NA,9,30,39,NA,0,0,0,NA,adults,2018-06-01,2018-06-30,Q19b
