time_prior_to_housing,total,population,start_date,end_date,question,household_type,count
7 days or less,29,all_persons,2018-06-01,2018-06-30,Q22e,without_children,17
7 days or less,29,all_persons,2018-06-01,2018-06-30,Q22e,with_children_and_adults,12
7 days or less,29,all_persons,2018-06-01,2018-06-30,Q22e,with_only_children,0
7 days or less,29,all_persons,2018-06-01,2018-06-30,Q22e,unknown_household_type,0
8 to 14 days,6,all_persons,2018-06-01,2018-06-30,Q22e,without_children,0
8 to 14 days,6,all_persons,2018-06-01,2018-06-30,Q22e,with_children_and_adults,6
8 to 14 days,6,all_persons,2018-06-01,2018-06-30,Q22e,with_only_children,0
8 to 14 days,6,all_persons,2018-06-01,2018-06-30,Q22e,unknown_household_type,0
15 to 21 days,3,all_persons,2018-06-01,2018-06-30,Q22e,without_children,1
15 to 21 days,3,all_persons,2018-06-01,2018-06-30,Q22e,with_children_and_adults,2
15 to 21 days,3,all_persons,2018-06-01,2018-06-30,Q22e,with_only_children,0
15 to 21 days,3,all_persons,2018-06-01,2018-06-30,Q22e,unknown_household_type,0
22 to 30 days,5,all_persons,2018-06-01,2018-06-30,Q22e,without_children,1
22 to 30 days,5,all_persons,2018-06-01,2018-06-30,Q22e,with_children_and_adults,4
22 to 30 days,5,all_persons,2018-06-01,2018-06-30,Q22e,with_only_children,0
22 to 30 days,5,all_persons,2018-06-01,2018-06-30,Q22e,unknown_household_type,0
31 to 60 days,15,all_persons,2018-06-01,2018-06-30,Q22e,without_children,8
31 to 60 days,15,all_persons,2018-06-01,2018-06-30,Q22e,with_children_and_adults,7
31 to 60 days,15,all_persons,2018-06-01,2018-06-30,Q22e,with_only_children,0
31 to 60 days,15,all_persons,2018-06-01,2018-06-30,Q22e,unknown_household_type,0
61 to 180 days,43,all_persons,2018-06-01,2018-06-30,Q22e,without_children,17
61 to 180 days,43,all_persons,2018-06-01,2018-06-30,Q22e,with_children_and_adults,26
61 to 180 days,43,all_persons,2018-06-01,2018-06-30,Q22e,with_only_children,0
61 to 180 days,43,all_persons,2018-06-01,2018-06-30,Q22e,unknown_household_type,0
181 to 365 days,33,all_persons,2018-06-01,2018-06-30,Q22e,without_children,9
181 to 365 days,33,all_persons,2018-06-01,2018-06-30,Q22e,with_children_and_adults,24
181 to 365 days,33,all_persons,2018-06-01,2018-06-30,Q22e,with_only_children,0
181 to 365 days,33,all_persons,2018-06-01,2018-06-30,Q22e,unknown_household_type,0
366-730 days (1-2 years),22,all_persons,2018-06-01,2018-06-30,Q22e,without_children,20
366-730 days (1-2 years),22,all_persons,2018-06-01,2018-06-30,Q22e,with_children_and_adults,2
366-730 days (1-2 years),22,all_persons,2018-06-01,2018-06-30,Q22e,with_only_children,0
366-730 days (1-2 years),22,all_persons,2018-06-01,2018-06-30,Q22e,unknown_household_type,0
731 days or more,41,all_persons,2018-06-01,2018-06-30,Q22e,without_children,32
731 days or more,41,all_persons,2018-06-01,2018-06-30,Q22e,with_children_and_adults,9
731 days or more,41,all_persons,2018-06-01,2018-06-30,Q22e,with_only_children,0
731 days or more,41,all_persons,2018-06-01,2018-06-30,Q22e,unknown_household_type,0
Total (persons moved into housing),197,all_persons,2018-06-01,2018-06-30,Q22e,without_children,105
Total (persons moved into housing),197,all_persons,2018-06-01,2018-06-30,Q22e,with_children_and_adults,92
Total (persons moved into housing),197,all_persons,2018-06-01,2018-06-30,Q22e,with_only_children,0
Total (persons moved into housing),197,all_persons,2018-06-01,2018-06-30,Q22e,unknown_household_type,0
Not yet moved into housing,18,all_persons,2018-06-01,2018-06-30,Q22e,without_children,3
Not yet moved into housing,18,all_persons,2018-06-01,2018-06-30,Q22e,with_children_and_adults,15
Not yet moved into housing,18,all_persons,2018-06-01,2018-06-30,Q22e,with_only_children,0
Not yet moved into housing,18,all_persons,2018-06-01,2018-06-30,Q22e,unknown_household_type,0
Data not collected,10,all_persons,2018-06-01,2018-06-30,Q22e,without_children,5
Data not collected,10,all_persons,2018-06-01,2018-06-30,Q22e,with_children_and_adults,5
Data not collected,10,all_persons,2018-06-01,2018-06-30,Q22e,with_only_children,0
Data not collected,10,all_persons,2018-06-01,2018-06-30,Q22e,unknown_household_type,0
Total persons,225,all_persons,2018-06-01,2018-06-30,Q22e,without_children,113
Total persons,225,all_persons,2018-06-01,2018-06-30,Q22e,with_children_and_adults,112
Total persons,225,all_persons,2018-06-01,2018-06-30,Q22e,with_only_children,0
Total persons,225,all_persons,2018-06-01,2018-06-30,Q22e,unknown_household_type,0
