, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""7 days or less""",31,28,3,0,0
"""8 to 14 days""",9,4,5,0,0
"""15 to 21 days""",7,3,4,0,0
"""22 to 30 days""",19,15,4,0,0
"""31 to 60 days""",37,27,10,0,0
"""61 to 180 days""",75,41,34,0,0
"""181 to 365 days""",22,13,8,1,0
"""366-730 days (1-2 years)""",25,25,0,0,0
"""731 days or more""",34,32,2,0,0
"""Total (persons moved into housing)""",259,188,70,1,0
"""Not yet moved into housing""",26,6,20,0,0
"""Data not collected""",11,9,2,0,0
"""Total persons""",296,203,92,1,0
