"""Total Number of Persons Served""",578
"""Number of Adults (age 18 or over)""",425
"""Number of Children (under age 18)""",151
"""Number of Persons with Unknown Age""",2
"""Number of Leavers""",164
"""Number of Adult Leavers""",119
"""Number of Adult and Head of Household Leavers""",120
"""Number of Stayers""",414
"""Number of Adult Stayers""",306
"""Number of Veterans""",28
"""Number of Chronically Homeless Persons""",68
"""Number of Youth Under Age 25""",21
"""Number of Parenting Youth Under Age 25 with Children""",0
"""Number of Adult Heads of Household""",354
"""Number of Child and Unknown-Age Heads of Household""",2
"""Heads of Households and Adult Stayers in the Project 365 Days or More""",108
