, "AO: Adult with Disabling Condition" , "AO: Adult without Disabling Condition" , "AO: Total Adults" , "AO: % with Disabling Condition by Source" , "AC: Adult with Disabling Condition" , "AC: Adult without Disabling Condition" , "AC: Total Adults" , "AC: % with Disabling Condition by Source" , "UK: Adult with Disabling Condition" , "UK: Adult without Disabling Condition" , "UK: Total Adults" , "UK: % with Disabling Condition by Source"
"""Earned Income""",5,15,20,0.25,3,16,19,0.16,0,0,0,0.0
"""Supplemental Security Income (SSI)""",9,5,14,0.64,0,0,0,0.0,0,0,0,0.0
"""Social Security Disability Insurance (SSDI)""",6,1,7,0.86,1,0,1,1.0,0,0,0,0.0
"""VA Service-Connected Disability Compensation""",0,0,0,0.0,0,1,1,0.0,0,0,0,0.0
"""Private Disability Insurance""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Worker's Compensation""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Temporary Assistance for Needy Families (TANF)""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Retirement Income from Social Security""",1,2,3,0.33,0,0,0,0.0,0,0,0,0.0
"""Pension or retirement income from a former job""",0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
"""Child Support""",0,0,0,0.0,2,5,7,0.29,0,0,0,0.0
"""Other source""",2,0,2,1.0,0,0,0,0.0,0,0,0,0.0
"""No Sources""",13,28,41,0.32,0,3,3,0.0,0,0,0,0.0
"""Unduplicated Total Adults""",33,50,83,,4,21,25,,0,0,0,
