, "Total" , "Without Children" , "With Children and Adults" , "With Only Children" , "Unknown Household Type"
"""Homeless Situations"""
"""Emergency shelter, including hotel or motel paid for with emergency shelter voucher""",82,57,25,0,0
"""Transitional housing for homeless persons (including homeless youth)""",1,1,0,0,0
"""Place not meant for human habitation""",92,80,12,0,0
"""Safe Haven""",1,1,0,0,0
"""Host Home""",0,0,0,0,0
"""Subtotal""",176,139,37,0,0
"""Institutional Settings"""
"""Psychiatric hospital or other psychiatric facility""",0,0,0,0,0
"""Substance abuse treatment facility or detox center""",3,3,0,0,0
"""Hospital or other residential non-psychiatric medical facility""",3,3,0,0,0
"""Jail, prison or juvenile detention facility""",14,13,1,0,0
"""Foster care home or foster care group home""",0,0,0,0,0
"""Long-term care facility or nursing home""",0,0,0,0,0
"""Residential project or halfway house with no homeless criteria""",0,0,0,0,0
"""Subtotal""",20,19,1,0,0
"""Other Locations"""
"""Permanent housing (other than RRH) for formerly homeless persons""",1,1,0,0,0
"""Owned by client, no ongoing housing subsidy""",6,4,2,0,0
"""Owned by client, with ongoing housing subsidy""",0,0,0,0,0
"""Rental by client, with RRH or equivalent subsidy""",0,0,0,0,0
"""Rental by client, with HCV voucher (tenant or project based)""",0,0,0,0,0
"""Rental by client in a public housing unit""",0,0,0,0,0
"""Rental by client, no ongoing housing subsidy""",100,80,20,0,0
"""Rental by client, with VASH housing subsidy""",0,0,0,0,0
"""Rental by client, with GPD TIP housing subsidy""",0,0,0,0,0
"""Rental by client, with other housing subsidy (including RRH)""",3,2,1,0,0
"""Hotel or motel paid for without emergency shelter voucher""",33,28,5,0,0
"""Staying or living in a friend''s room, apartment or house""",32,23,9,0,0
"""Staying or living in a family member''s room, apartment or house""",38,22,15,1,0
"""Client Doesn''t Know/Client Refused""",2,2,0,0,0
"""Data not collected""",16,13,2,0,1
"""Subtotal""",231,175,54,1,1
"""Total""",427,333,92,1,1
