"""Number of Adults by Income Category""", "Number of Adults at Start" , "Number of Adults at Annual Assessment (Stayers)" , "Number of Adults at Exit (Leavers)"
"""Adults with Only Earned Income (ie.e, Employment Income)""",95,7,33
"""Adults with Only Other Income""",122,24,24
"""Adults with Both Earned and Other Income""",12,1,6
"""Adults with No Income""",182,14,50
"""Adults with Client Doesn't Know/Client Refused Income Information""",1,0,1
"""Adults with Missing Income Information""",13,0,5
"""Number of Adult Stayers not yet Required to Have an Annual Assessment""",0,198,0
"""Number of Adult Stayers without Required Annual Assessment""",0,62,0
"""Total Adults""",425,306,119
"""1 or More Source of Income""",248,34,67
"""Adults with Income Information at Start and Annual Assessment/Exit""",0,46,0
