ch_status_persons,total,population,start_date,end_date,question,household_type,count
Chronically Homeless ,29,all_persons,2015-01-01,2015-01-31,Q26b,without_children,29
Chronically Homeless ,29,all_persons,2015-01-01,2015-01-31,Q26b,with_children_and_adults,0
Chronically Homeless ,29,all_persons,2015-01-01,2015-01-31,Q26b,with_only_children,0
Chronically Homeless ,29,all_persons,2015-01-01,2015-01-31,Q26b,unknown_household_type,0
Not Chronically Homeless,432,all_persons,2015-01-01,2015-01-31,Q26b,without_children,182
Not Chronically Homeless,432,all_persons,2015-01-01,2015-01-31,Q26b,with_children_and_adults,248
Not Chronically Homeless,432,all_persons,2015-01-01,2015-01-31,Q26b,with_only_children,2
Not Chronically Homeless,432,all_persons,2015-01-01,2015-01-31,Q26b,unknown_household_type,0
Client Doesn't Know/Client Refused,4,all_persons,2015-01-01,2015-01-31,Q26b,without_children,4
Client Doesn't Know/Client Refused,4,all_persons,2015-01-01,2015-01-31,Q26b,with_children_and_adults,0
Client Doesn't Know/Client Refused,4,all_persons,2015-01-01,2015-01-31,Q26b,with_only_children,0
Client Doesn't Know/Client Refused,4,all_persons,2015-01-01,2015-01-31,Q26b,unknown_household_type,0
Data Not Collected,131,all_persons,2015-01-01,2015-01-31,Q26b,without_children,106
Data Not Collected,131,all_persons,2015-01-01,2015-01-31,Q26b,with_children_and_adults,25
Data Not Collected,131,all_persons,2015-01-01,2015-01-31,Q26b,with_only_children,0
Data Not Collected,131,all_persons,2015-01-01,2015-01-31,Q26b,unknown_household_type,0
