dv_history,total,population,start_date,end_date,question,household_type,count
Yes,38,all_persons,2015-01-01,2015-01-31,Q14a,without_children,23
Yes,38,all_persons,2015-01-01,2015-01-31,Q14a,with_children_and_adults,15
Yes,38,all_persons,2015-01-01,2015-01-31,Q14a,with_only_children,0
Yes,38,all_persons,2015-01-01,2015-01-31,Q14a,unknown_household_type,0
No,391,all_persons,2015-01-01,2015-01-31,Q14a,without_children,284
No,391,all_persons,2015-01-01,2015-01-31,Q14a,with_children_and_adults,107
No,391,all_persons,2015-01-01,2015-01-31,Q14a,with_only_children,0
No,391,all_persons,2015-01-01,2015-01-31,Q14a,unknown_household_type,0
Client Doesn't Know/Client Refused,1,all_persons,2015-01-01,2015-01-31,Q14a,without_children,1
Client Doesn't Know/Client Refused,1,all_persons,2015-01-01,2015-01-31,Q14a,with_children_and_adults,0
Client Doesn't Know/Client Refused,1,all_persons,2015-01-01,2015-01-31,Q14a,with_only_children,0
Client Doesn't Know/Client Refused,1,all_persons,2015-01-01,2015-01-31,Q14a,unknown_household_type,0
Data Not Collected,14,all_persons,2015-01-01,2015-01-31,Q14a,without_children,13
Data Not Collected,14,all_persons,2015-01-01,2015-01-31,Q14a,with_children_and_adults,1
Data Not Collected,14,all_persons,2015-01-01,2015-01-31,Q14a,with_only_children,0
Data Not Collected,14,all_persons,2015-01-01,2015-01-31,Q14a,unknown_household_type,0
