living_situation,total,population,start_date,end_date,question,category,household_type,count
"Emergency shelter, including hotel or motel paid for with emergency shelter voucher",80,all_persons,2015-01-01,2015-01-31,Q15,Homeless Situations,without_children,53
"Emergency shelter, including hotel or motel paid for with emergency shelter voucher",80,all_persons,2015-01-01,2015-01-31,Q15,Homeless Situations,with_children_and_adults,27
"Emergency shelter, including hotel or motel paid for with emergency shelter voucher",80,all_persons,2015-01-01,2015-01-31,Q15,Homeless Situations,with_only_children,0
"Emergency shelter, including hotel or motel paid for with emergency shelter voucher",80,all_persons,2015-01-01,2015-01-31,Q15,Homeless Situations,unknown_household_type,0
Transitional housing for homeless persons (including homeless youth),0,all_persons,2015-01-01,2015-01-31,Q15,NA,without_children,0
Transitional housing for homeless persons (including homeless youth),0,all_persons,2015-01-01,2015-01-31,Q15,NA,with_children_and_adults,0
Transitional housing for homeless persons (including homeless youth),0,all_persons,2015-01-01,2015-01-31,Q15,NA,with_only_children,0
Transitional housing for homeless persons (including homeless youth),0,all_persons,2015-01-01,2015-01-31,Q15,NA,unknown_household_type,0
Place not meant for human habitation,48,all_persons,2015-01-01,2015-01-31,Q15,NA,without_children,40
Place not meant for human habitation,48,all_persons,2015-01-01,2015-01-31,Q15,NA,with_children_and_adults,8
Place not meant for human habitation,48,all_persons,2015-01-01,2015-01-31,Q15,NA,with_only_children,0
Place not meant for human habitation,48,all_persons,2015-01-01,2015-01-31,Q15,NA,unknown_household_type,0
Safe Haven,0,all_persons,2015-01-01,2015-01-31,Q15,NA,without_children,0
Safe Haven,0,all_persons,2015-01-01,2015-01-31,Q15,NA,with_children_and_adults,0
Safe Haven,0,all_persons,2015-01-01,2015-01-31,Q15,NA,with_only_children,0
Safe Haven,0,all_persons,2015-01-01,2015-01-31,Q15,NA,unknown_household_type,0
Host Home,0,all_persons,2015-01-01,2015-01-31,Q15,NA,without_children,0
Host Home,0,all_persons,2015-01-01,2015-01-31,Q15,NA,with_children_and_adults,0
Host Home,0,all_persons,2015-01-01,2015-01-31,Q15,NA,with_only_children,0
Host Home,0,all_persons,2015-01-01,2015-01-31,Q15,NA,unknown_household_type,0
Psychiatric hospital or other psychiatric facility,2,all_persons,2015-01-01,2015-01-31,Q15,Institutional Settings,without_children,2
Psychiatric hospital or other psychiatric facility,2,all_persons,2015-01-01,2015-01-31,Q15,Institutional Settings,with_children_and_adults,0
Psychiatric hospital or other psychiatric facility,2,all_persons,2015-01-01,2015-01-31,Q15,Institutional Settings,with_only_children,0
Psychiatric hospital or other psychiatric facility,2,all_persons,2015-01-01,2015-01-31,Q15,Institutional Settings,unknown_household_type,0
Substance abuse treatment facility or detox center,3,all_persons,2015-01-01,2015-01-31,Q15,NA,without_children,3
Substance abuse treatment facility or detox center,3,all_persons,2015-01-01,2015-01-31,Q15,NA,with_children_and_adults,0
Substance abuse treatment facility or detox center,3,all_persons,2015-01-01,2015-01-31,Q15,NA,with_only_children,0
Substance abuse treatment facility or detox center,3,all_persons,2015-01-01,2015-01-31,Q15,NA,unknown_household_type,0
Hospital or other residential non-psychiatric medical facility,6,all_persons,2015-01-01,2015-01-31,Q15,NA,without_children,6
Hospital or other residential non-psychiatric medical facility,6,all_persons,2015-01-01,2015-01-31,Q15,NA,with_children_and_adults,0
Hospital or other residential non-psychiatric medical facility,6,all_persons,2015-01-01,2015-01-31,Q15,NA,with_only_children,0
Hospital or other residential non-psychiatric medical facility,6,all_persons,2015-01-01,2015-01-31,Q15,NA,unknown_household_type,0
"Jail, prison or juvenile detention facility",11,all_persons,2015-01-01,2015-01-31,Q15,NA,without_children,11
"Jail, prison or juvenile detention facility",11,all_persons,2015-01-01,2015-01-31,Q15,NA,with_children_and_adults,0
"Jail, prison or juvenile detention facility",11,all_persons,2015-01-01,2015-01-31,Q15,NA,with_only_children,0
"Jail, prison or juvenile detention facility",11,all_persons,2015-01-01,2015-01-31,Q15,NA,unknown_household_type,0
Foster care home or foster care group home,0,all_persons,2015-01-01,2015-01-31,Q15,NA,without_children,0
Foster care home or foster care group home,0,all_persons,2015-01-01,2015-01-31,Q15,NA,with_children_and_adults,0
Foster care home or foster care group home,0,all_persons,2015-01-01,2015-01-31,Q15,NA,with_only_children,0
Foster care home or foster care group home,0,all_persons,2015-01-01,2015-01-31,Q15,NA,unknown_household_type,0
Long-term care facility or nursing home,0,all_persons,2015-01-01,2015-01-31,Q15,NA,without_children,0
Long-term care facility or nursing home,0,all_persons,2015-01-01,2015-01-31,Q15,NA,with_children_and_adults,0
Long-term care facility or nursing home,0,all_persons,2015-01-01,2015-01-31,Q15,NA,with_only_children,0
Long-term care facility or nursing home,0,all_persons,2015-01-01,2015-01-31,Q15,NA,unknown_household_type,0
Residential project or halfway house with no homeless criteria,0,all_persons,2015-01-01,2015-01-31,Q15,NA,without_children,0
Residential project or halfway house with no homeless criteria,0,all_persons,2015-01-01,2015-01-31,Q15,NA,with_children_and_adults,0
Residential project or halfway house with no homeless criteria,0,all_persons,2015-01-01,2015-01-31,Q15,NA,with_only_children,0
Residential project or halfway house with no homeless criteria,0,all_persons,2015-01-01,2015-01-31,Q15,NA,unknown_household_type,0
Permanent housing (other than RRH) for formerly homeless persons,2,all_persons,2015-01-01,2015-01-31,Q15,Other Locations,without_children,2
Permanent housing (other than RRH) for formerly homeless persons,2,all_persons,2015-01-01,2015-01-31,Q15,Other Locations,with_children_and_adults,0
Permanent housing (other than RRH) for formerly homeless persons,2,all_persons,2015-01-01,2015-01-31,Q15,Other Locations,with_only_children,0
Permanent housing (other than RRH) for formerly homeless persons,2,all_persons,2015-01-01,2015-01-31,Q15,Other Locations,unknown_household_type,0
"Owned by client, no ongoing housing subsidy",30,all_persons,2015-01-01,2015-01-31,Q15,NA,without_children,15
"Owned by client, no ongoing housing subsidy",30,all_persons,2015-01-01,2015-01-31,Q15,NA,with_children_and_adults,15
