conditions,total,adults_in_hh_with_children_and_adults,children_in_hh_with_children_and_adults,population,start_date,end_date,question,household_type,count
Mental Health Disorder,87,17,3,stayers,2015-01-01,2015-01-31,Q13c1,without_children,67
Mental Health Disorder,87,17,3,stayers,2015-01-01,2015-01-31,Q13c1,with_only_children,0
Mental Health Disorder,87,17,3,stayers,2015-01-01,2015-01-31,Q13c1,unknown_household_type,0
Alcohol Use Disorder,8,0,0,stayers,2015-01-01,2015-01-31,Q13c1,without_children,8
Alcohol Use Disorder,8,0,0,stayers,2015-01-01,2015-01-31,Q13c1,with_only_children,0
Alcohol Use Disorder,8,0,0,stayers,2015-01-01,2015-01-31,Q13c1,unknown_household_type,0
Drug Use Disorder,4,3,0,stayers,2015-01-01,2015-01-31,Q13c1,without_children,1
Drug Use Disorder,4,3,0,stayers,2015-01-01,2015-01-31,Q13c1,with_only_children,0
Drug Use Disorder,4,3,0,stayers,2015-01-01,2015-01-31,Q13c1,unknown_household_type,0
Both Alcohol and Drug Use Disorders,15,0,0,stayers,2015-01-01,2015-01-31,Q13c1,without_children,15
Both Alcohol and Drug Use Disorders,15,0,0,stayers,2015-01-01,2015-01-31,Q13c1,with_only_children,0
Both Alcohol and Drug Use Disorders,15,0,0,stayers,2015-01-01,2015-01-31,Q13c1,unknown_household_type,0
Chronic Health Condition,49,11,7,stayers,2015-01-01,2015-01-31,Q13c1,without_children,31
Chronic Health Condition,49,11,7,stayers,2015-01-01,2015-01-31,Q13c1,with_only_children,0
Chronic Health Condition,49,11,7,stayers,2015-01-01,2015-01-31,Q13c1,unknown_household_type,0
HIV/AIDS,77,3,0,stayers,2015-01-01,2015-01-31,Q13c1,without_children,74
HIV/AIDS,77,3,0,stayers,2015-01-01,2015-01-31,Q13c1,with_only_children,0
HIV/AIDS,77,3,0,stayers,2015-01-01,2015-01-31,Q13c1,unknown_household_type,0
Development Disability,16,3,9,stayers,2015-01-01,2015-01-31,Q13c1,without_children,4
Development Disability,16,3,9,stayers,2015-01-01,2015-01-31,Q13c1,with_only_children,0
Development Disability,16,3,9,stayers,2015-01-01,2015-01-31,Q13c1,unknown_household_type,0
Physical Disability,42,5,2,stayers,2015-01-01,2015-01-31,Q13c1,without_children,35
Physical Disability,42,5,2,stayers,2015-01-01,2015-01-31,Q13c1,with_only_children,0
Physical Disability,42,5,2,stayers,2015-01-01,2015-01-31,Q13c1,unknown_household_type,0
