income_sources_exit,ao_adult_with_disabling_condition,ao_adult_without_disabling_condition,ao_total_adults,ao_percent_with_disabling_condition_by_source,ac_adult_with_disabling_condition,ac_adult_without_disabling_condition,ac_total_adults,ac_percent_with_disabling_condition_by_source,uk_adult_with_disabling_condition,uk_adult_without_disabling_condition,uk_total_adults,uk_percent_with_disabling_condition_by_source,population,start_date,end_date,question
Earned Income,5,17,22,0.23,1,13,14,0.07,0,0,0,0.0,adults,2015-01-01,2015-01-31,Q19b
Supplemental Security Income (SSI),6,4,10,0.6,0,1,1,0.0,0,0,0,0.0,adults,2015-01-01,2015-01-31,Q19b
Social Security Disability Insurance (SSDI),11,1,12,0.92,1,0,1,1.0,0,0,0,0.0,adults,2015-01-01,2015-01-31,Q19b
VA Service-Connected Disability Compensation,1,0,1,1.0,1,0,1,1.0,0,0,0,0.0,adults,2015-01-01,2015-01-31,Q19b
Private Disability Insurance,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2015-01-01,2015-01-31,Q19b
Worker's Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2015-01-01,2015-01-31,Q19b
Temporary Assistance for Needy Families (TANF),0,1,1,0.0,0,0,0,0.0,0,0,0,0.0,adults,2015-01-01,2015-01-31,Q19b
Retirement Income from Social Security,2,2,6,0.33,0,0,0,0.0,0,0,0,0.0,adults,2015-01-01,2015-01-31,Q19b
Pension or retirement income from a former job,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2015-01-01,2015-01-31,Q19b
Child Support,0,1,1,0.0,0,1,1,0.0,0,0,0,0.0,adults,2015-01-01,2015-01-31,Q19b
Other source,1,2,3,0.33,0,2,2,0.0,0,0,0,0.0,adults,2015-01-01,2015-01-31,Q19b
No Sources,14,38,52,0.27,1,11,12,0.08,0,0,0,0.0,adults,2015-01-01,2015-01-31,Q19b
Unduplicated Total Adults,35,62,97,NA,4,27,31,NA,0,0,0,NA,adults,2015-01-01,2015-01-31,Q19b
