length,total,population,start_date,end_date,question,status,count
30 days or less,250,all_persons,2015-01-01,2015-01-31,Q22a1,leavers,142
30 days or less,250,all_persons,2015-01-01,2015-01-31,Q22a1,stayers,108
31 to 60 days,76,all_persons,2015-01-01,2015-01-31,Q22a1,leavers,6
31 to 60 days,76,all_persons,2015-01-01,2015-01-31,Q22a1,stayers,70
61 to 90 days,49,all_persons,2015-01-01,2015-01-31,Q22a1,leavers,18
61 to 90 days,49,all_persons,2015-01-01,2015-01-31,Q22a1,stayers,31
91 to 180 days,79,all_persons,2015-01-01,2015-01-31,Q22a1,leavers,12
91 to 180 days,79,all_persons,2015-01-01,2015-01-31,Q22a1,stayers,67
181 to 365 days,42,all_persons,2015-01-01,2015-01-31,Q22a1,leavers,0
181 to 365 days,42,all_persons,2015-01-01,2015-01-31,Q22a1,stayers,42
366 to 730 Days (1-2 Yrs),15,all_persons,2015-01-01,2015-01-31,Q22a1,leavers,0
366 to 730 Days (1-2 Yrs),15,all_persons,2015-01-01,2015-01-31,Q22a1,stayers,15
"731 to 1,095 Days (2-3 Yrs)",18,all_persons,2015-01-01,2015-01-31,Q22a1,leavers,0
"731 to 1,095 Days (2-3 Yrs)",18,all_persons,2015-01-01,2015-01-31,Q22a1,stayers,18
"1,096 to 1,460 Days (3-4 Yrs)",11,all_persons,2015-01-01,2015-01-31,Q22a1,leavers,0
"1,096 to 1,460 Days (3-4 Yrs)",11,all_persons,2015-01-01,2015-01-31,Q22a1,stayers,11
"1,461 to 1,825 Days (5-5 Yrs)",12,all_persons,2015-01-01,2015-01-31,Q22a1,leavers,0
"1,461 to 1,825 Days (5-5 Yrs)",12,all_persons,2015-01-01,2015-01-31,Q22a1,stayers,12
"More than 1,825 Days (>5 Yrs)",44,all_persons,2015-01-01,2015-01-31,Q22a1,leavers,0
"More than 1,825 Days (>5 Yrs)",44,all_persons,2015-01-01,2015-01-31,Q22a1,stayers,44
Data Not Collected,0,all_persons,2015-01-01,2015-01-31,Q22a1,leavers,0
Data Not Collected,0,all_persons,2015-01-01,2015-01-31,Q22a1,stayers,0
