length,total,population,start_date,end_date,question,status,count
30 days or less,398,all_persons,2019-12-01,2019-12-31,Q22a1,leavers,236
30 days or less,398,all_persons,2019-12-01,2019-12-31,Q22a1,stayers,162
31 to 60 days,154,all_persons,2019-12-01,2019-12-31,Q22a1,leavers,48
31 to 60 days,154,all_persons,2019-12-01,2019-12-31,Q22a1,stayers,106
61 to 90 days,104,all_persons,2019-12-01,2019-12-31,Q22a1,leavers,23
61 to 90 days,104,all_persons,2019-12-01,2019-12-31,Q22a1,stayers,81
91 to 180 days,231,all_persons,2019-12-01,2019-12-31,Q22a1,leavers,23
91 to 180 days,231,all_persons,2019-12-01,2019-12-31,Q22a1,stayers,208
181 to 365 days,122,all_persons,2019-12-01,2019-12-31,Q22a1,leavers,6
181 to 365 days,122,all_persons,2019-12-01,2019-12-31,Q22a1,stayers,116
366 to 730 Days (1-2 Yrs),107,all_persons,2019-12-01,2019-12-31,Q22a1,leavers,1
366 to 730 Days (1-2 Yrs),107,all_persons,2019-12-01,2019-12-31,Q22a1,stayers,106
"731 to 1,095 Days (2-3 Yrs)",36,all_persons,2019-12-01,2019-12-31,Q22a1,leavers,0
"731 to 1,095 Days (2-3 Yrs)",36,all_persons,2019-12-01,2019-12-31,Q22a1,stayers,36
"1,096 to 1,460 Days (3-4 Yrs)",34,all_persons,2019-12-01,2019-12-31,Q22a1,leavers,0
"1,096 to 1,460 Days (3-4 Yrs)",34,all_persons,2019-12-01,2019-12-31,Q22a1,stayers,34
"1,461 to 1,825 Days (5-5 Yrs)",9,all_persons,2019-12-01,2019-12-31,Q22a1,leavers,0
"1,461 to 1,825 Days (5-5 Yrs)",9,all_persons,2019-12-01,2019-12-31,Q22a1,stayers,9
"More than 1,825 Days (>5 Yrs)",33,all_persons,2019-12-01,2019-12-31,Q22a1,leavers,1
"More than 1,825 Days (>5 Yrs)",33,all_persons,2019-12-01,2019-12-31,Q22a1,stayers,32
Data Not Collected,0,all_persons,2019-12-01,2019-12-31,Q22a1,leavers,0
Data Not Collected,0,all_persons,2019-12-01,2019-12-31,Q22a1,stayers,0
