conditions,population,start_date,end_date,question,status,count
Mental Health Disorder,chronically_homeless,2019-12-01,2019-12-31,Q26e,conditions_at_start,66
Mental Health Disorder,chronically_homeless,2019-12-01,2019-12-31,Q26e,conditions_at_latest_assessment_for_stayers,55
Mental Health Disorder,chronically_homeless,2019-12-01,2019-12-31,Q26e,conditions_at_exit_for_leavers,11
Alcohol Use Disorder,chronically_homeless,2019-12-01,2019-12-31,Q26e,conditions_at_start,12
Alcohol Use Disorder,chronically_homeless,2019-12-01,2019-12-31,Q26e,conditions_at_latest_assessment_for_stayers,11
Alcohol Use Disorder,chronically_homeless,2019-12-01,2019-12-31,Q26e,conditions_at_exit_for_leavers,1
Drug Use Disorder,chronically_homeless,2019-12-01,2019-12-31,Q26e,conditions_at_start,11
Drug Use Disorder,chronically_homeless,2019-12-01,2019-12-31,Q26e,conditions_at_latest_assessment_for_stayers,8
Drug Use Disorder,chronically_homeless,2019-12-01,2019-12-31,Q26e,conditions_at_exit_for_leavers,3
Both Alcohol and Drug Use Disorders,chronically_homeless,2019-12-01,2019-12-31,Q26e,conditions_at_start,13
Both Alcohol and Drug Use Disorders,chronically_homeless,2019-12-01,2019-12-31,Q26e,conditions_at_latest_assessment_for_stayers,9
Both Alcohol and Drug Use Disorders,chronically_homeless,2019-12-01,2019-12-31,Q26e,conditions_at_exit_for_leavers,4
Chronic Health Condition,chronically_homeless,2019-12-01,2019-12-31,Q26e,conditions_at_start,29
Chronic Health Condition,chronically_homeless,2019-12-01,2019-12-31,Q26e,conditions_at_latest_assessment_for_stayers,25
Chronic Health Condition,chronically_homeless,2019-12-01,2019-12-31,Q26e,conditions_at_exit_for_leavers,4
HIV/AIDS,chronically_homeless,2019-12-01,2019-12-31,Q26e,conditions_at_start,0
HIV/AIDS,chronically_homeless,2019-12-01,2019-12-31,Q26e,conditions_at_latest_assessment_for_stayers,0
HIV/AIDS,chronically_homeless,2019-12-01,2019-12-31,Q26e,conditions_at_exit_for_leavers,0
Development Disability,chronically_homeless,2019-12-01,2019-12-31,Q26e,conditions_at_start,11
Development Disability,chronically_homeless,2019-12-01,2019-12-31,Q26e,conditions_at_latest_assessment_for_stayers,9
Development Disability,chronically_homeless,2019-12-01,2019-12-31,Q26e,conditions_at_exit_for_leavers,3
Physical Disability,chronically_homeless,2019-12-01,2019-12-31,Q26e,conditions_at_start,33
Physical Disability,chronically_homeless,2019-12-01,2019-12-31,Q26e,conditions_at_latest_assessment_for_stayers,28
Physical Disability,chronically_homeless,2019-12-01,2019-12-31,Q26e,conditions_at_exit_for_leavers,5
