dv_history,total,population,start_date,end_date,question,household_type,count
Yes,222,all_persons,2019-12-01,2019-12-31,Q14a,without_children,155
Yes,222,all_persons,2019-12-01,2019-12-31,Q14a,with_children_and_adults,67
Yes,222,all_persons,2019-12-01,2019-12-31,Q14a,with_only_children,0
Yes,222,all_persons,2019-12-01,2019-12-31,Q14a,unknown_household_type,0
No,643,all_persons,2019-12-01,2019-12-31,Q14a,without_children,496
No,643,all_persons,2019-12-01,2019-12-31,Q14a,with_children_and_adults,143
No,643,all_persons,2019-12-01,2019-12-31,Q14a,with_only_children,0
No,643,all_persons,2019-12-01,2019-12-31,Q14a,unknown_household_type,4
Client Doesn't Know/Client Refused,4,all_persons,2019-12-01,2019-12-31,Q14a,without_children,3
Client Doesn't Know/Client Refused,4,all_persons,2019-12-01,2019-12-31,Q14a,with_children_and_adults,1
Client Doesn't Know/Client Refused,4,all_persons,2019-12-01,2019-12-31,Q14a,with_only_children,0
Client Doesn't Know/Client Refused,4,all_persons,2019-12-01,2019-12-31,Q14a,unknown_household_type,0
Data Not Collected,23,all_persons,2019-12-01,2019-12-31,Q14a,without_children,15
Data Not Collected,23,all_persons,2019-12-01,2019-12-31,Q14a,with_children_and_adults,8
Data Not Collected,23,all_persons,2019-12-01,2019-12-31,Q14a,with_only_children,0
Data Not Collected,23,all_persons,2019-12-01,2019-12-31,Q14a,unknown_household_type,0
