count_non_cash_benefits,population,start_date,end_date,question,status,count
No Sources,all_persons,2019-12-01,2019-12-31,Q20b,benefit_at_entry,508
No Sources,all_persons,2019-12-01,2019-12-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,24
No Sources,all_persons,2019-12-01,2019-12-31,Q20b,benefit_at_exit_for_leavers,131
1 + Source(s),all_persons,2019-12-01,2019-12-31,Q20b,benefit_at_entry,266
1 + Source(s),all_persons,2019-12-01,2019-12-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,35
1 + Source(s),all_persons,2019-12-01,2019-12-31,Q20b,benefit_at_exit_for_leavers,77
Client Doesn't Know/Client Refused,all_persons,2019-12-01,2019-12-31,Q20b,benefit_at_entry,1
Client Doesn't Know/Client Refused,all_persons,2019-12-01,2019-12-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,0
Client Doesn't Know/Client Refused,all_persons,2019-12-01,2019-12-31,Q20b,benefit_at_exit_for_leavers,0
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2019-12-01,2019-12-31,Q20b,benefit_at_entry,116
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2019-12-01,2019-12-31,Q20b,benefit_at_latest_annual_assessment_for_stayers,558
Data Not Collected/Not stayed long enough for Annual Assessment,all_persons,2019-12-01,2019-12-31,Q20b,benefit_at_exit_for_leavers,66
