veteran_status_households,total,population,start_date,end_date,question,household_type,count
Chronically Homeless Veteran,17,all_households,2019-12-01,2019-12-31,Q25b,without_children,17
Chronically Homeless Veteran,17,all_households,2019-12-01,2019-12-31,Q25b,with_children_and_adults,0
Chronically Homeless Veteran,17,all_households,2019-12-01,2019-12-31,Q25b,unknown_household_type,0
Non-Chronically Homeless Veteran,29,all_households,2019-12-01,2019-12-31,Q25b,without_children,24
Non-Chronically Homeless Veteran,29,all_households,2019-12-01,2019-12-31,Q25b,with_children_and_adults,4
Non-Chronically Homeless Veteran,29,all_households,2019-12-01,2019-12-31,Q25b,unknown_household_type,1
Not a Veteran,664,all_households,2019-12-01,2019-12-31,Q25b,without_children,530
Not a Veteran,664,all_households,2019-12-01,2019-12-31,Q25b,with_children_and_adults,132
Not a Veteran,664,all_households,2019-12-01,2019-12-31,Q25b,unknown_household_type,2
Client Doesn't Know/Client Refused,0,all_households,2019-12-01,2019-12-31,Q25b,without_children,0
Client Doesn't Know/Client Refused,0,all_households,2019-12-01,2019-12-31,Q25b,with_children_and_adults,0
Client Doesn't Know/Client Refused,0,all_households,2019-12-01,2019-12-31,Q25b,unknown_household_type,0
Data Not Collected,6,all_households,2019-12-01,2019-12-31,Q25b,without_children,6
Data Not Collected,6,all_households,2019-12-01,2019-12-31,Q25b,with_children_and_adults,0
Data Not Collected,6,all_households,2019-12-01,2019-12-31,Q25b,unknown_household_type,0
