number_of_adults_by_income_category,population,start_date,end_date,question,status,count
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2019-12-01,2019-12-31,Q18,number_of_adults_at_start,228
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2019-12-01,2019-12-31,Q18,number_of_adults_at_annual_assessment_stayers,8
"Adults with Only Earned Income (ie.e, Employment Income)",all_persons,2019-12-01,2019-12-31,Q18,number_of_adults_at_exit_leavers,65
Adults with Only Other Income,all_persons,2019-12-01,2019-12-31,Q18,number_of_adults_at_start,176
Adults with Only Other Income,all_persons,2019-12-01,2019-12-31,Q18,number_of_adults_at_annual_assessment_stayers,40
Adults with Only Other Income,all_persons,2019-12-01,2019-12-31,Q18,number_of_adults_at_exit_leavers,43
Adults with Both Earned and Other Income,all_persons,2019-12-01,2019-12-31,Q18,number_of_adults_at_start,46
Adults with Both Earned and Other Income,all_persons,2019-12-01,2019-12-31,Q18,number_of_adults_at_annual_assessment_stayers,2
Adults with Both Earned and Other Income,all_persons,2019-12-01,2019-12-31,Q18,number_of_adults_at_exit_leavers,13
Adults with No Income,all_persons,2019-12-01,2019-12-31,Q18,number_of_adults_at_start,417
Adults with No Income,all_persons,2019-12-01,2019-12-31,Q18,number_of_adults_at_annual_assessment_stayers,13
Adults with No Income,all_persons,2019-12-01,2019-12-31,Q18,number_of_adults_at_exit_leavers,152
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2019-12-01,2019-12-31,Q18,number_of_adults_at_start,1
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2019-12-01,2019-12-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Client Doesn't Know/Client Refused Income Information,all_persons,2019-12-01,2019-12-31,Q18,number_of_adults_at_exit_leavers,0
Adults with Missing Income Information,all_persons,2019-12-01,2019-12-31,Q18,number_of_adults_at_start,17
Adults with Missing Income Information,all_persons,2019-12-01,2019-12-31,Q18,number_of_adults_at_annual_assessment_stayers,0
Adults with Missing Income Information,all_persons,2019-12-01,2019-12-31,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2019-12-01,2019-12-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2019-12-01,2019-12-31,Q18,number_of_adults_at_annual_assessment_stayers,448
Number of Adult Stayers not yet Required to Have an Annual Assessment,all_persons,2019-12-01,2019-12-31,Q18,number_of_adults_at_exit_leavers,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2019-12-01,2019-12-31,Q18,number_of_adults_at_start,0
Number of Adult Stayers without Required Annual Assessment,all_persons,2019-12-01,2019-12-31,Q18,number_of_adults_at_annual_assessment_stayers,106
Number of Adult Stayers without Required Annual Assessment,all_persons,2019-12-01,2019-12-31,Q18,number_of_adults_at_exit_leavers,0
Total Adults,all_persons,2019-12-01,2019-12-31,Q18,number_of_adults_at_start,891
Total Adults,all_persons,2019-12-01,2019-12-31,Q18,number_of_adults_at_annual_assessment_stayers,617
Total Adults,all_persons,2019-12-01,2019-12-31,Q18,number_of_adults_at_exit_leavers,274
1 or More Source of Income,all_persons,2019-12-01,2019-12-31,Q18,number_of_adults_at_start,488
1 or More Source of Income,all_persons,2019-12-01,2019-12-31,Q18,number_of_adults_at_annual_assessment_stayers,52
1 or More Source of Income,all_persons,2019-12-01,2019-12-31,Q18,number_of_adults_at_exit_leavers,137
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2019-12-01,2019-12-31,Q18,number_of_adults_at_start,0
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2019-12-01,2019-12-31,Q18,number_of_adults_at_annual_assessment_stayers,63
Adults with Income Information at Start and Annual Assessment/Exit,all_persons,2019-12-01,2019-12-31,Q18,number_of_adults_at_exit_leavers,0
