income_sources_exit,ao_adult_with_disabling_condition,ao_adult_without_disabling_condition,ao_total_adults,ao_percent_with_disabling_condition_by_source,ac_adult_with_disabling_condition,ac_adult_without_disabling_condition,ac_total_adults,ac_percent_with_disabling_condition_by_source,uk_adult_with_disabling_condition,uk_adult_without_disabling_condition,uk_total_adults,uk_percent_with_disabling_condition_by_source,population,start_date,end_date,question
Earned Income,15,32,47,0.32,3,25,28,0.11,0,0,0,0.0,adults,2019-12-01,2019-12-31,Q19b
Supplemental Security Income (SSI),21,6,27,0.78,3,2,5,0.6,0,0,0,0.0,adults,2019-12-01,2019-12-31,Q19b
Social Security Disability Insurance (SSDI),19,0,19,1.0,0,0,0,0.0,0,0,0,0.0,adults,2019-12-01,2019-12-31,Q19b
VA Service-Connected Disability Compensation,0,0,0,0.0,1,0,1,1.0,0,0,0,0.0,adults,2019-12-01,2019-12-31,Q19b
Private Disability Insurance,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2019-12-01,2019-12-31,Q19b
Worker's Compensation,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,adults,2019-12-01,2019-12-31,Q19b
Temporary Assistance for Needy Families (TANF),1,0,1,1.0,1,1,2,0.5,0,0,0,0.0,adults,2019-12-01,2019-12-31,Q19b
Retirement Income from Social Security,1,1,2,0.5,0,0,0,0.0,0,0,0,0.0,adults,2019-12-01,2019-12-31,Q19b
Pension or retirement income from a former job,2,0,2,1.0,0,1,1,0.0,0,0,0,0.0,adults,2019-12-01,2019-12-31,Q19b
Child Support,3,2,5,0.6,2,5,7,0.29,0,0,0,0.0,adults,2019-12-01,2019-12-31,Q19b
Other source,1,0,1,1.0,1,0,1,1.0,0,0,0,0.0,adults,2019-12-01,2019-12-31,Q19b
No Sources,26,36,62,0.42,1,7,8,0.13,0,0,0,0.0,adults,2019-12-01,2019-12-31,Q19b
Unduplicated Total Adults,70,75,145,NA,9,34,43,NA,0,0,0,NA,adults,2019-12-01,2019-12-31,Q19b
